Name, ,Image,ClusterID,Area,Coverage (pc),lw_mean,mw_mean,sw_mean,lum_mean,RNL X,RNL Y,RNL Chromaticity,Dmax Chromaticity,Dmax channel,Adj1,hAdj1,vAdj1,Adj2,hAdj2,vAdj2,Adj3,hAdj3,vAdj3,Adj4,hAdj4,vAdj4
Yasuhikotakia_modesta_P_19,1,Yasuhikotakia_modesta_P_19_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,16311,100.0,0.534829993,0.487894793,0.443358029,0.510096525,1.060589215,-0.919718005,1.403827158,0.093511638,lw:sw,32262,16225,16037,,,,,,,,,
Yasuhikotakia_modesta_P_20,1,Yasuhikotakia_modesta_P_20_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,15878,100.0,0.199652652,0.184032875,0.166862292,0.191421506,0.940679425,-0.892179831,1.296480864,0.089465274,lw:sw,31397,15799,15598,,,,,,,,,
Yasuhikotakia_modesta_P_21,1,Yasuhikotakia_modesta_P_21_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,19231,100.0,0.310834766,0.305327251,0.302142019,0.307932468,0.20643078,-0.131288948,0.244643526,0.014181201,lw:sw,38073,19141,18932,,,,,,,,,
Yasuhikotakia_modesta_P_22,1,Yasuhikotakia_modesta_P_22_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,16197,100.0,0.197156381,0.164028036,0.139598886,0.179698752,2.124199083,-1.66360903,2.698113554,0.170917878,lw:sw,32035,16114,15921,,,,,,,,,
Yasuhikotakia_modesta_P_23,1,Yasuhikotakia_modesta_P_23_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,15431,100.0,0.15989006,0.14889755,0.138795953,0.154097226,0.822475015,-0.689921607,1.073525488,0.070623017,lw:sw,30510,15353,15157,,,,,,,,,
Yasuhikotakia_modesta_P_24,1,Yasuhikotakia_modesta_P_24_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,9331,50.353461767,0.164899807,0.14440875,0.124773512,0.154101648,1.532184712,-1.37474527,2.058522419,0.138522578,lw:sw,18255,9205,9050,476.0,167.0,309.0,,,,,,
Yasuhikotakia_modesta_P_24,2,Yasuhikotakia_modesta_P_24_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,9200,49.646538233,0.10952444,0.097233845,0.087398459,0.103047674,1.37443572,-1.089878538,1.754111962,0.1123586,lw:sw,476,167,309,17958.0,9072.0,8886.0,,,,,,
Yasuhikotakia_modesta_P_25,1,Yasuhikotakia_modesta_P_25_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,12620,59.801923897,0.446881808,0.44129692,0.408576884,0.443938741,0.145218508,-0.500553114,0.521192705,0.044777059,lw:sw,24793,12465,12328,690.0,276.0,414.0,,,,,,
Yasuhikotakia_modesta_P_25,2,Yasuhikotakia_modesta_P_25_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,8483,40.198076103,0.28027892,0.272608239,0.254329505,0.276236688,0.320425788,-0.515101105,0.606631547,0.048539106,lw:sw,690,276,414,16325.0,8264.0,8061.0,,,,,,
Yasuhikotakia_modesta_P_26,1,Yasuhikotakia_modesta_P_26_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,3442,20.555389669,0.548572569,0.422675668,0.321964337,0.482228766,3.01049019,-2.61330015,3.986525914,0.260308586,lw:sw,6588,3368,3220,347.0,97.0,250.0,,,,,,
Yasuhikotakia_modesta_P_26,2,Yasuhikotakia_modesta_P_26_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,13303,79.444610331,0.277964433,0.223039893,0.182045005,0.249020884,2.542003091,-2.050085547,3.26567458,0.208516217,lw:sw,347,97,250,26200.0,13197.0,13003.0,,,,,,
Yasuhikotakia_modesta_P_27,1,Yasuhikotakia_modesta_P_27_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,6891,42.369650762,0.482482271,0.42622434,0.369967601,0.452836066,1.431587792,-1.313773574,1.943050336,0.131989779,lw:sw,13391,6749,6642,579.0,233.0,346.0,,,,,,
Yasuhikotakia_modesta_P_27,2,Yasuhikotakia_modesta_P_27_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,9373,57.630349238,0.31576807,0.288986892,0.260088161,0.301655211,1.02337904,-0.963608972,1.405648217,0.096690643,lw:sw,579,233,346,18200.0,9198.0,9002.0,,,,,,
Yasuhikotakia_modesta_P_28,1,Yasuhikotakia_modesta_P_28_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,8291,41.498573502,0.550227048,0.440051186,0.360615498,0.492167726,2.580078877,-2.039422699,3.288776665,0.2081716,lw:sw,16189,8182,8007,393.0,106.0,287.0,,,,,,
Yasuhikotakia_modesta_P_28,2,Yasuhikotakia_modesta_P_28_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,11688,58.501426498,0.289177458,0.239883715,0.205103233,0.263201172,2.157990393,-1.647949482,2.715264266,0.170094093,lw:sw,393,106,287,22984.0,11595.0,11389.0,,,,,,
