Name, ,Image,Pass,ClusterID,lw_mean,lw_sd,mw_mean,mw_sd,sw_mean,sw_sd,lum_mean,lum_sd,Area,Coverage (pc),RNL X,RNL Y,RNL Saturation,Dmax Chromaticity,Dmax channel
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,8,1,0.252128194,0.072491089,0.209768573,0.060504236,0.182519947,0.050812559,0.229805927,0.066122608,23367,100.0,2.123886309,-1.533892436,2.619870046,0.160148498,lw:sw
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.325455473,0.112741645,0.27268308,0.092369035,0.229576246,0.07477731,0.297645956,0.101958785,16754,100.0,2.042856319,-1.699439286,2.657321175,0.172745491,lw:sw
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.292476303,0.042879332,0.248325715,0.034596943,0.219433559,0.029325492,0.269210293,0.038390909,10649,55.76852417,1.889591714,-1.364073276,2.330504827,0.14268673,lw:sw
Botia_lohachata_C_12,2,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.195354917,0.028129978,0.166842565,0.023741525,0.152245152,0.020768192,0.180329746,0.025771169,8446,44.23147583,1.821752076,-1.152829277,2.155874757,0.124021163,lw:sw
Botia_lohachata_C_13,1,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,8,1,0.239707661,0.079027729,0.205016123,0.06861467,0.175613181,0.057362482,0.221426207,0.073502494,27734,100.0,1.805171977,-1.517829108,2.358484909,0.15432522,lw:sw
Botia_lohachata_C_14,1,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.166975035,0.024639393,0.141399785,0.021618122,0.124049201,0.017759931,0.153497327,0.023023878,2840,36.289291382,1.919737459,-1.416586503,2.385814165,0.147499173,lw:sw
Botia_lohachata_C_14,2,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.230666366,0.020120323,0.197046831,0.017316932,0.173436303,0.014513601,0.212949804,0.018579641,1815,23.191925049,1.819022235,-1.363282121,2.273187197,0.141622582,lw:sw
Botia_lohachata_C_14,3,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.3084295,0.036313039,0.262570301,0.02838219,0.225136746,0.023280299,0.284263064,0.032022924,3171,40.518783569,1.85878454,-1.530142141,2.407574493,0.15610574,lw:sw
Botia_lohachata_C_4,1,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.309221347,0.05882316,0.262597351,0.050781176,0.227893923,0.042715363,0.284651833,0.054533123,12068,61.24023056,1.887202427,-1.469032954,2.391566603,0.151415214,lw:sw
Botia_lohachata_C_4,2,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.519435154,0.08834015,0.437685284,0.071962197,0.368832711,0.059577687,0.476355481,0.079611668,7191,36.491424561,1.977343275,-1.67189572,2.58942498,0.169546202,lw:sw
