Name, ,ClusterID_Particle#,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Area (px)
Botia_lohachata_C_10,1,1_1,57.302816901,12.18021767,57.302816901,12.18021767,415.639610307,147.692502398,26.931633449,6.597550624,0.227241178,178.160040413,0,50,16.298796382,48.32103309,5.483978633,0.182349361,0.712428734,3124
Botia_lohachata_C_10,2,1_2,318.215410233,22.471541023,318.215410233,22.471541023,592.551298552,94.128578386,44.678356864,156.098688611,0.118213351,193.196790864,183,0,153.567577705,86.0,2.106804838,0.474652413,0.325082427,3303
Botia_lohachata_C_10,3,1_3,57.496350365,82.47810219,57.496350365,82.47810219,352.284271247,125.619144004,8.331555784,177.784437478,0.083232928,163.229899222,0,66,172.962059237,19.97936783,15.077513404,0.066323934,0.480561239,822
Botia_lohachata_C_11,1,1_1,53.303076923,10.001538462,53.303076923,10.001538462,378.325901808,125.280108773,23.121148223,6.194132958,0.199737272,156.262599492,0,53,19.826475475,50.2632951,5.418420727,0.184555621,0.569461827,2275
Botia_lohachata_C_11,2,1_2,259.25147929,17.368576767,259.25147929,17.368576767,395.923881554,114.939108699,35.569896308,165.124586465,0.257410805,164.793810563,151,0,156.390530462,60.975475524,3.231359116,0.309467306,0.629484415,3211
Botia_lohachata_C_11,3,1_3,61.354375897,73.824964132,61.354375897,73.824964132,456.526911935,157.932670872,11.238307537,177.243922799,0.084050416,212.360542474,0,55,173.510833604,23.966209398,14.053065406,0.071158852,0.526236316,1394
Botia_lohachata_C_11,4,1_4,280.138392857,76.334821429,280.138392857,76.334821429,161.798989873,51.577754746,5.529625309,4.50958511,0.107524212,73.979726953,229,79,9.334998463,12.0,9.327531589,0.1072095,0.466666667,224
Botia_lohachata_C_12,1,1_1,146.814136816,41.014611782,146.814136816,41.014611782,1740.808224589,284.113290883,67.934302541,2.05195693,0.062860605,333.730430138,0,0,166.130313561,80.0,4.182177196,0.239109907,0.584837963,15159
Botia_lohachata_C_12,2,1_2,240.401785714,39.267857143,240.401785714,39.267857143,38.04163056,12.955569117,11.007067905,7.660427015,0.972544852,13.601470509,234,37,162.897271031,11.0,1.17702273,0.849601265,0.933333333,112
Botia_lohachata_C_12,3,2_1,166.122873941,26.834009939,166.122873941,26.834009939,1259.050865276,286.719661896,63.444457403,177.986602016,0.113256818,329.692280771,0,0,169.337642455,76.0,4.51922317,0.221276968,0.671381579,14287
Botia_lohachata_C_12,4,2_2,276.47186595,63.455730244,276.47186595,63.455730244,516.693434176,85.681779539,35.916854157,6.68473282,0.113768132,176.725776275,148,80,5.194428908,55.0,2.385559135,0.419188938,0.433503722,2417
Botia_lohachata_C_12,5,2_3,39.07012987,74.603896104,39.07012987,74.603896104,323.455844123,75.47617448,12.989456026,173.941611313,0.092484847,131.867357598,0,38,161.42765149,40.190670173,5.810572385,0.172100085,0.284342688,770
Botia_lohachata_C_13,1,1_1,66.401558249,13.873732377,66.401558249,13.873732377,473.296464556,163.790297268,31.428647272,6.256288146,0.226802107,192.38762954,0,73,22.299140224,68.24079548,5.211496882,0.19188345,0.597414112,4043
Botia_lohachata_C_13,2,1_2,333.072905212,18.255883,333.072905212,18.255883,519.580735804,154.402175306,37.495716614,168.952957847,0.2116551,220.730605037,182,0,161.236712195,67.610491468,4.117861699,0.242844484,0.601534595,4547
Botia_lohachata_C_13,3,1_3,330.248976009,94.526331188,330.248976009,94.526331188,435.012193309,155.277192599,14.013432015,3.682718053,0.113487771,200.82330542,192,101,7.726617619,26.90038088,11.08059699,0.090247845,0.610575205,1709
Botia_lohachata_C_13,4,1_4,61.980109739,95.683127572,61.980109739,95.683127572,375.355339059,154.32055442,12.029397271,177.567613947,0.130041567,175.145653671,0,81,173.443053502,20.0,12.828619002,0.077950713,0.789815818,1458
Botia_lohachata_C_14,1,1_1,108.515268207,24.317186867,108.515268207,24.317186867,1287.879292401,197.151133575,47.797066645,178.80546667,0.056072504,214.667184264,0,0,166.805328925,49.0,4.124753827,0.242438711,0.722683332,7401
Botia_lohachata_C_14,2,2_1,107.407429385,22.474365061,107.407429385,22.474365061,624.994949366,219.360817857,48.907168148,179.19555874,0.271068032,214.667184264,0,0,166.805328925,49.0,4.485248813,0.222953072,0.822771214,8426
Botia_lohachata_C_14,3,3_1,97.780339463,22.968033946,97.780339463,22.968033946,696.107647738,195.741652573,45.98818628,1.916336263,0.183348123,214.667184264,0,0,166.805328925,49.0,4.256346432,0.234943282,0.690362269,7070
Botia_lohachata_C_4,1,1_1,68.670536298,27.46059516,68.670536298,27.46059516,946.801081914,126.030753907,61.787562275,9.118582698,0.085735335,174.427635425,0,85,27.299572211,85.0,2.039743101,0.490257817,0.498106446,6116
Botia_lohachata_C_4,2,1_2,276.744595429,18.918777023,276.744595429,18.918777023,424.166522241,111.229119799,37.06538048,163.890669283,0.226159029,178.639301387,151,0,158.317708387,61.773478444,3.000889735,0.333234503,0.578886207,3238
Botia_lohachata_C_4,3,1_3,190.98169298,61.037789721,190.98169298,61.037789721,699.730014102,98.267299967,38.572690264,163.462259742,0.07640604,183.357574155,139,41,166.115332315,80.0,2.547587407,0.39252824,0.336080379,2977
Botia_lohachata_C_4,4,1_4,194.712435233,16.334196891,194.712435233,16.334196891,57.597979746,21.328679074,11.521352601,61.047988898,0.73105941,21.470910554,190,26,62.241459399,12.899612397,1.851230477,0.540181254,0.85209713,193
Botia_lohachata_C_4,5,1_5,218.113636364,31.894736842,218.113636364,31.894736842,177.48023074,40.406539494,26.342970042,33.020772591,0.333515615,51.623637997,197,40,8.914926957,34.435446853,1.533864231,0.651948184,0.608221171,836
Botia_lohachata_C_4,6,1_6,42.193779904,49.954545455,42.193779904,49.954545455,111.053823869,31.607679801,25.257190644,95.366781367,0.638866875,37.643060449,31,66,73.009176708,29.831881879,1.251432918,0.799083982,0.838795987,627
Botia_lohachata_C_4,7,1_7,252.277265745,58.443164363,252.277265745,58.443164363,166.752308679,37.082298693,22.35241538,59.836015823,0.29420303,47.801673611,235,76,52.650650955,29.963310898,1.658983965,0.602778581,0.658240647,651
Botia_lohachata_C_4,8,1_8,16.9,42.9625,16.9,42.9625,32.384776311,12.367220736,8.236221036,6.133057316,0.958557231,13.0,11,45,22.619864948,8.0,1.501564939,0.665971863,0.935672515,80
Botia_lohachata_C_4,9,1_9,233.87254902,46.480392157,233.87254902,46.480392157,25.556349186,8.530391943,7.612219604,21.791772115,0.981256199,9.433981132,230,49,32.005383208,8.0,1.120618215,0.892364578,0.918918919,51
Botia_lohachata_C_4,10,1_10,286.62962963,64.037037037,286.62962963,64.037037037,43.112698372,17.507141892,7.854501419,150.062628987,0.730168693,17.88854382,278,61,153.434948823,9.260923598,2.228931024,0.448645557,0.857142857,108
Botia_lohachata_C_4,11,2_1,160.533461577,42.060392832,160.533461577,42.060392832,801.656854249,310.260394709,81.066015501,0.466980623,0.386267255,328.198110903,0,0,164.98986443,85.0,3.827256006,0.261283802,0.733123028,19754
Botia_lohachata_C_4,12,3_1,160.982677938,42.092874934,160.982677938,42.092874934,922.325901808,352.560315402,95.695119338,179.545336691,0.391430038,328.198110903,0,0,164.98986443,85.0,3.684203728,0.271429072,0.983410651,26498
Botia_lohachata_C_5,1,1_1,41.964530892,22.117086194,41.964530892,22.117086194,712.610173055,74.638719982,44.727911828,8.506381156,0.064884134,189.763010094,0,0,160.610209923,63.0,1.668728025,0.599258828,0.271288153,2622
