Name, ,Image,Pass,ClusterID,lw_mean,lw_sd,mw_mean,mw_sd,sw_mean,sw_sd,lum_mean,lum_sd,Area,Coverage (pc),RNL X,RNL Y,RNL Saturation,Dmax Chromaticity,Dmax channel
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.200343732,0.038557096,0.166068011,0.033353553,0.145876316,0.03045044,0.182281466,0.035670138,300057,60.87991333,2.166660966,-1.492653876,2.631052134,0.157320224,lw:sw
Botia_lohachata_C_10,2,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.343298153,0.069474893,0.286557288,0.059163993,0.246559294,0.05242676,0.313397463,0.063816782,175432,35.594184875,2.086105092,-1.586684712,2.620954564,0.164003793,lw:sw
Botia_lohachata_C_10,3,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.09392543,0.017281524,0.077388009,0.014363478,0.070953044,0.014072275,0.085210008,0.01552772,13033,2.644323826,2.236315134,-1.265275144,2.569440906,0.1393292,lw:sw
Botia_lohachata_C_10,4,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,4,0.039725012,0.006777623,0.028957734,0.006055317,0.029205655,0.005391458,0.034043259,0.006343869,4345,0.881576598,3.650536395,-1.18505777,3.838069552,0.156768314,lw:mw
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.163230506,0.034867858,0.135495169,0.0289368,0.117154673,0.023196913,0.148614749,0.031646695,95018,26.523929596,2.150382094,-1.579746522,2.66828451,0.16433049,lw:sw
Botia_lohachata_C_11,2,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.396677148,0.050828955,0.335555082,0.042691658,0.282522385,0.038162304,0.3644677,0.046185534,109469,30.55787468,1.932248979,-1.66174606,2.548526257,0.1680725,lw:sw
Botia_lohachata_C_11,3,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.271264909,0.034133679,0.227798516,0.029071266,0.193902055,0.026232742,0.24835945,0.031198693,105434,29.431518555,2.016516488,-1.626266091,2.590575254,0.166312014,lw:sw
Botia_lohachata_C_11,4,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,4,0.630686291,0.115374028,0.521067501,0.086365237,0.429529683,0.068891604,0.572920562,0.099797815,42455,11.851159096,2.204672106,-1.877904692,2.896049918,0.189731727,lw:sw
Botia_lohachata_C_11,5,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,5,0.046233671,0.007811331,0.03390637,0.007078134,0.034446812,0.006744078,0.039730841,0.00733089,5859,1.635518551,3.580812056,-1.118760266,3.75151163,0.153821994,lw:mw
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.142397834,0.026238495,0.120522359,0.022633954,0.111038744,0.020482058,0.130870043,0.024226499,72017,17.861536026,1.925931532,-1.131805891,2.233874849,0.123735453,lw:sw
Botia_lohachata_C_12,2,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.230705372,0.033536164,0.196709878,0.02866054,0.17706577,0.026147832,0.212790791,0.030759095,230445,57.154582977,1.840737324,-1.239238777,2.219014791,0.131543399,lw:sw
Botia_lohachata_C_12,3,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.357904551,0.044581933,0.303488828,0.038967733,0.266125628,0.036255571,0.329229138,0.04125432,99867,24.768846512,1.904362032,-1.414099984,2.37197671,0.147074495,lw:sw
Botia_lohachata_C_12,4,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3,20,4,0.042634489,0.007763704,0.033820278,0.006952763,0.033860975,0.006306338,0.037984419,0.007297219,867,0.215031892,2.674337731,-0.897707874,2.82098595,0.11528661,lw:mw
