Name, ,ClusterID_Particle#,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Area (px)
Botia_lohachata_C_10,1,1_1,500.118558798,138.577093881,500.118558798,138.577093881,8010.481815167,789.080707326,277.594306291,0.816361151,0.033691042,1298.839866958,0,0,162.248606082,396.0,2.842568055,0.351794568,0.392410766,172037
Botia_lohachata_C_10,2,1_2,1450.581641269,133.201400329,1450.581641269,133.201400329,4506.889752606,486.5619087,254.144482693,152.41920658,0.060084807,916.921479735,807,0,154.413074417,396.0,1.914509037,0.522327125,0.4160366,97120
Botia_lohachata_C_10,3,1_3,1067.890036452,63.430437424,1067.890036452,63.430437424,422.173664916,150.449122732,55.719893944,172.114329821,0.464213118,156.524758425,987,53,169.695153531,67.266802786,2.700097076,0.370357054,0.777331759,6584
Botia_lohachata_C_10,4,1_4,620.527586207,51.696551724,620.527586207,51.696551724,66.526911935,23.783782127,15.524842348,18.77467495,0.823404304,24.166091947,609,57,24.44395478,15.521743726,1.531982199,0.652749099,0.926517572,290
Botia_lohachata_C_10,5,1_5,1169.045820745,75.271399799,1169.045820745,75.271399799,133.539105243,37.330250192,33.868695265,6.534943783,0.699748842,43.382023927,1149,87,25.974393962,36.682420858,1.102205145,0.907272121,0.884238646,993
Botia_lohachata_C_10,6,1_6,1198.363574987,164.852796014,1198.363574987,164.852796014,1331.065150626,195.167327738,140.11241543,14.88985752,0.152329794,264.123077371,1076,127,165.753304661,193.29285501,1.392933861,0.717909176,0.559442563,21477
Botia_lohachata_C_10,7,1_7,369.291566265,131.98060241,369.291566265,131.98060241,522.925973595,156.30642597,67.610068849,23.349412706,0.381423572,178.899413079,306,166,25.848891232,85.182548669,2.311880887,0.432548236,0.759377859,8300
Botia_lohachata_C_10,8,1_8,1321.704330176,117.195534506,1321.704330176,117.195534506,107.539105243,40.501684791,23.231725505,125.902079013,0.803010946,41.231056256,1315,98,112.833654178,23.753885131,1.743378243,0.57359899,0.93426043,739
Botia_lohachata_C_10,9,1_9,183.59012975,183.634383689,183.59012975,183.634383689,735.518902708,208.411666134,79.102604624,3.681064657,0.300763325,236.457184285,42,205,8.267173336,109.809302971,2.634700426,0.379549792,0.685877741,12948
Botia_lohachata_C_10,10,1_10,1522.779761905,214.375,1522.779761905,214.375,57.254833996,24.791363907,8.628175695,137.840208379,0.644013285,25.495097568,1514,204,131.82016988,9.192388155,2.873303092,0.348031505,0.879581152,168
Botia_lohachata_C_10,11,1_11,1452.314691152,244.438230384,1452.314691152,244.438230384,162.409162928,48.49886362,31.451066288,95.942575913,0.570749614,52.39274759,1449,220,103.240519915,38.634705246,1.542041951,0.648490788,0.806734007,1198
Botia_lohachata_C_10,12,1_12,62.776157804,249.769296741,62.776157804,249.769296741,94.325901808,27.843009004,26.660144903,44.200258478,0.823410663,31.064449134,51,261,33.178511659,26.979652321,1.044368255,0.957516657,0.918833727,583
Botia_lohachata_C_10,13,1_13,264.536832413,272.697974217,264.536832413,272.697974217,158.024386618,48.630173264,28.433749106,128.140402628,0.546501631,51.623637997,239,264,148.465208095,33.230036023,1.710297614,0.58469356,0.795313072,1086
Botia_lohachata_C_10,14,1_14,150.472589329,283.845814978,150.472589329,283.845814978,339.847763109,106.982971231,48.62883055,4.294378126,0.444569224,116.155068766,91,264,177.039063866,53.0,2.199990623,0.454547392,0.809509658,4086
Botia_lohachata_C_10,15,1_15,1377.068655942,326.016761806,1377.068655942,326.016761806,587.595021154,138.081159986,88.843858314,10.880330718,0.350675454,157.714932711,1298,325,5.457553485,117.361744324,1.554200398,0.643417671,0.678377808,9635
Botia_lohachata_C_10,16,1_16,1211.706050695,324.703714519,1211.706050695,324.703714519,766.163563649,144.949817617,75.199844482,156.750475814,0.183269997,174.928556845,1140,272,149.036243468,95.389833694,1.927528157,0.518799166,0.665138684,8561
Botia_lohachata_C_10,17,1_17,214.783018868,280.254716981,214.783018868,280.254716981,26.970562748,10.432177707,6.468610655,48.403893365,0.915599859,11.401754251,211,285,52.125016349,7.071067812,1.61273854,0.620063312,0.913793103,53
Botia_lohachata_C_10,18,1_18,1430.065217391,280.989130435,1430.065217391,280.989130435,36.384776311,14.927610558,7.84707222,165.18983843,0.873289569,15.652475842,1423,277,153.434948823,8.0,1.902315939,0.525675036,0.943589744,92
Botia_lohachata_C_10,19,1_19,1379.085526316,288.296052632,1379.085526316,288.296052632,47.455844123,14.273652611,13.558716614,27.08293916,0.848152695,16.552945357,1374,296,64.983106522,14.0,1.052728884,0.94991219,0.915662651,152
Botia_lohachata_C_10,20,1_20,1078.315568862,320.567065868,1078.315568862,320.567065868,146.953318806,53.00235042,20.058639125,158.795050875,0.485889531,55.072679252,1058,307,150.642246457,23.050131796,2.642370207,0.378448106,0.834582709,835
Botia_lohachata_C_10,21,1_21,1231.028571429,315.485714286,1231.028571429,315.485714286,31.213203436,11.166912076,7.981326219,134.842739605,0.902882464,12.206555616,1226,311,145.007979801,9.089425013,1.39912989,0.714729924,0.891719745,70
Botia_lohachata_C_10,22,2_1,785.320541792,206.117202201,785.320541792,206.117202201,4116.669047558,1543.194327275,381.899836524,0.839268512,0.343224221,1681.300686968,0,0,166.377019558,396.0,4.040835265,0.247473588,0.715340368,462871
Botia_lohachata_C_10,23,2_2,798.840136054,54.806122449,798.840136054,54.806122449,85.74011537,29.825759529,18.825962795,52.363132926,0.753841993,32.249030993,793,70,60.255118703,20.729041,1.584288668,0.631198102,0.90647482,441
Botia_lohachata_C_10,24,2_3,903.357384096,177.32990482,903.357384096,177.32990482,427.788888605,162.326551761,51.093812469,17.291762942,0.447299712,157.892368403,829,205,14.300277449,59.25340438,3.177029545,0.314759427,0.854575271,6514
Botia_lohachata_C_10,25,2_4,1202.714285714,302.428571429,1202.714285714,302.428571429,36.04163056,11.803717443,10.571032049,99.69225784,0.94804091,12.649110641,1201,296,108.434948823,11.0,1.116609749,0.895568036,0.907407407,98
Botia_lohachata_C_10,26,2_5,1506.482905983,316.072649573,1506.482905983,316.072649573,42.04163056,15.836718635,9.406558907,65.485364919,0.831833914,16.552945357,1503,324,64.983106522,10.504514629,1.683582572,0.593971461,0.896551724,117
Botia_lohachata_C_10,27,2_6,1394.829971182,328.152737752,1394.829971182,328.152737752,109.296464556,31.979250411,27.631299442,133.621372063,0.730057567,36.124783736,1398,311,94.763641691,29.69848481,1.157356008,0.864038371,0.893178893,694
Botia_lohachata_C_10,28,2_7,1542.491511036,327.483022071,1542.491511036,327.483022071,135.781745931,44.884186572,16.70829192,142.247097864,0.401460094,49.678969393,1518,316,139.899092454,22.987326068,2.686342014,0.372253419,0.699109792,589
