Name,Cluster ID,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
Yasuhikotakia_modesta_C_10,1,5,119998,23999.6,27.55065962,1178.018319702,243.764009857,89.117918396,130.541311836,0.354993084,0.6019234,394.136727142,477.4,185.6,134.477206802,151.021465302
Yasuhikotakia_modesta_C_10,2,1,433520,433520.0,99.533008536,3087.656738281,1322.330322266,417.425811768,179.961334229,0.571427226,0.995330095,1231.225830078,0.0,0.0,162.462753296,371.0
Yasuhikotakia_modesta_C_10,3,1,434414,434414.0,99.738264371,3087.656738281,1323.162109375,418.023651123,0.003647138,0.57260561,0.997382641,1231.225830078,0.0,0.0,162.462753296,371.0
Yasuhikotakia_modesta_C_10,4,1,435156,435156.0,99.908622123,3087.656738281,1323.825439453,418.527862549,0.02012842,0.573583663,0.999086201,1231.225830078,0.0,0.0,162.462753296,371.0
Yasuhikotakia_modesta_C_6,1,1,400202,400202.0,87.266407616,5897.21875,1375.96081543,370.32522583,0.354935557,0.144608781,0.872664094,1330.084594727,0.0,0.0,164.385955811,358.0
Yasuhikotakia_modesta_C_6,2,14,368062,26290.142857143,80.258090964,682.90036038,111.527661255,39.119425229,61.703901104,0.693308774,0.858485413,119.150145463,851.285714286,173.928571429,79.724167143,39.768149376
Yasuhikotakia_modesta_C_6,3,6,258673,43112.166666667,56.40517403,1127.151177724,219.687789599,51.367227236,132.153236071,0.755365603,0.857913931,233.958333969,511.0,173.333333333,129.551144282,67.440335592
Yasuhikotakia_modesta_C_6,4,1,458053,458053.0,99.881159534,3275.656738281,1444.098388672,403.85836792,179.994171143,0.536449432,0.998811603,1330.084594727,0.0,0.0,164.385955811,358.0
Yasuhikotakia_modesta_C_6,5,1,458034,458034.0,99.877016472,3275.656738281,1444.179931641,403.818817139,0.013959908,0.5364272,0.998770177,1330.084594727,0.0,0.0,164.385955811,358.0
Yasuhikotakia_modesta_C_7,1,17,328817,19342.176470588,68.207407838,628.355496014,150.645669096,42.444465048,89.197405352,0.378541927,0.681241495,203.644439529,676.647058824,253.058823529,95.712782159,59.406729397
Yasuhikotakia_modesta_C_7,2,9,285433,31714.777777778,59.208146298,425.696556515,139.577220599,49.937004672,97.926795622,0.726140956,0.835803933,167.874739223,366.0,194.222222222,118.465911441,56.952864435
Yasuhikotakia_modesta_C_7,3,1,479431,479431.0,99.449680968,3294.041748047,1419.072753906,430.161529541,179.932723999,0.55523622,0.994496822,1318.547729492,0.0,0.0,163.159240723,382.0
Yasuhikotakia_modesta_C_7,4,1,480827,480827.0,99.739257059,3285.656738281,1420.98815918,430.832519531,179.996307373,0.559698701,0.997392595,1318.547729492,0.0,0.0,163.159240723,382.0
Yasuhikotakia_modesta_C_8,1,3,243711,81237.0,48.307050093,3007.543549538,346.23320516,104.868540247,68.447268168,0.476785357,0.802464217,451.82435894,664.0,150.0,121.626084646,135.536563555
Yasuhikotakia_modesta_C_8,2,7,404008,57715.428571429,80.080237223,1083.179518563,208.872715133,70.36122019,71.972931249,0.653061071,0.846268692,215.290723392,896.428571429,211.714285714,110.891939163,72.116484029
Yasuhikotakia_modesta_C_8,3,1,502624,502624.0,99.62735677,3337.656738281,1434.850341797,446.012176514,179.900558472,0.566982567,0.996273577,1334.125976562,0.0,0.0,162.733078003,396.0
Yasuhikotakia_modesta_C_8,4,1,503127,503127.0,99.727058656,3337.656738281,1434.692016602,446.5078125,0.024534322,0.567550004,0.997270584,1334.125976562,0.0,0.0,162.733078003,396.0
Yasuhikotakia_modesta_C_8,5,1,504442,504442.0,99.987710702,3337.656738281,1437.441040039,446.818664551,0.005624617,0.569033384,0.999877095,1334.125976562,0.0,0.0,162.733078003,396.0
Yasuhikotakia_modesta_C_9,1,21,293437,13973.19047619,61.076975593,488.863181523,97.544877847,38.937141248,99.920083182,0.633911844,0.789690978,136.641380946,665.0,243.380952381,100.812078703,54.953133265
Yasuhikotakia_modesta_C_9,2,9,318914,35434.888888889,66.379845058,456.408694373,148.986894078,51.515030384,77.632789135,0.72031441,0.847609076,168.153422144,573.444444444,163.444444444,105.021489461,56.230144395
Yasuhikotakia_modesta_C_9,3,1,478820,478820.0,99.663223975,3295.656738281,1432.341674805,425.633483887,179.923675537,0.553985238,0.996632218,1326.018432617,0.0,0.0,163.437332153,378.0
Yasuhikotakia_modesta_C_9,4,1,477924,477924.0,99.476727486,3295.656738281,1429.816650391,425.587249756,179.96862793,0.552948534,0.994767249,1326.018432617,0.0,0.0,163.437332153,378.0
Yasuhikotakia_modesta_C_9,5,1,479326,479326.0,99.768544536,3295.656738281,1431.012329102,426.479095459,0.03969162,0.554570675,0.997685432,1326.018432617,0.0,0.0,163.437332153,378.0
Yasuhikotakia_modesta_P_11,1,9,340971,37885.666666667,81.882497028,732.60154046,165.539850977,53.057068242,99.26040113,0.597083394,0.804457698,172.275285509,702.555555556,138.0,91.142782529,56.555117819
Yasuhikotakia_modesta_P_11,2,18,196642,10924.555555556,47.222602452,527.469934887,90.415784094,26.956574599,102.150317695,0.644105349,0.828537956,109.568697929,502.222222222,167.888888889,109.067528195,36.872888618
Yasuhikotakia_modesta_P_11,3,4,407965,101991.25,97.970774348,929.423908234,359.016787529,109.19264245,79.107943147,0.556331038,0.896688461,338.585936069,733.0,146.5,123.254516602,100.589183092
Yasuhikotakia_modesta_P_11,4,1,412794,412794.0,99.130434783,3101.656738281,1354.704711914,387.97064209,179.922866821,0.53920728,0.991304338,1255.338256836,0.0,0.0,164.048339844,345.0
Yasuhikotakia_modesta_P_11,5,1,415831,415831.0,99.859755292,3101.656738281,1360.49609375,389.161346436,0.00958999,0.543174326,0.998597562,1255.338256836,0.0,0.0,164.048339844,345.0
Yasuhikotakia_modesta_P_12,1,4,128883,32220.75,30.059684157,1507.179784775,478.854169846,90.548556805,91.673975468,0.359497911,0.616394497,643.451493263,373.25,196.5,132.853433132,158.844537735
Yasuhikotakia_modesta_P_12,2,1,421584,421584.0,98.327024398,3213.597900391,1345.972167969,398.802734375,0.029634772,0.512992382,0.983270228,1252.936523438,0.0,0.0,163.445297241,357.0
Yasuhikotakia_modesta_P_12,3,1,427802,427802.0,99.777263112,3113.656738281,1354.31237793,402.192596436,179.926025391,0.554512262,0.997772634,1252.936523438,0.0,0.0,163.445297241,357.0
Yasuhikotakia_modesta_P_12,4,1,427606,427606.0,99.731549572,3113.656738281,1352.667602539,402.497161865,179.996383667,0.554258227,0.997315466,1252.936523438,0.0,0.0,163.445297241,357.0
Yasuhikotakia_modesta_P_12,5,1,427847,427847.0,99.787758567,3113.656738281,1352.816650391,402.679656982,0.017531758,0.554570615,0.997877598,1252.936523438,0.0,0.0,163.445297241,357.0
Yasuhikotakia_modesta_P_13,1,2,422171,211085.5,84.915159463,2919.961009979,704.506919861,211.261632919,88.598765016,0.546528123,0.905580819,690.249601364,516.5,118.5,165.221038818,209.0
Yasuhikotakia_modesta_P_13,2,15,212287,14152.466666667,42.699248544,679.065824509,157.532730611,34.527752908,108.823856735,0.532241492,0.753871687,211.402841441,711.4,226.266666667,96.819997311,57.684245872
Yasuhikotakia_modesta_P_13,3,1,496399,496399.0,99.845323915,3345.656738281,1452.815063477,435.041503906,179.979766846,0.557285786,0.998453259,1344.596557617,0.0,0.0,163.317077637,386.0
Yasuhikotakia_modesta_P_13,4,1,494065,494065.0,99.375864899,3345.656738281,1445.799072266,435.097198486,0.049261596,0.554665506,0.993758678,1344.596557617,0.0,0.0,163.317077637,386.0
Yasuhikotakia_modesta_P_14,1,4,332384,83096.0,85.384957241,1996.445293903,315.531466961,91.937244296,80.875276089,0.681899576,0.872954622,313.103581429,480.5,207.5,80.014865398,89.688515186
Yasuhikotakia_modesta_P_14,2,12,164408,13700.666666667,42.234193132,607.666618983,93.093183597,31.44942828,82.643085092,0.676159399,0.804035224,125.958316724,652.0,203.583333333,98.408297221,41.642307758
Yasuhikotakia_modesta_P_14,3,1,387632,387632.0,99.577421733,3001.656738281,1313.869140625,375.645019531,0.003534537,0.540639043,0.995774209,1215.50402832,0.0,0.0,164.09992981,333.0
Yasuhikotakia_modesta_P_14,4,1,387626,387626.0,99.575880414,3330.793945312,1313.067993164,375.868408203,179.921707153,0.4390634,0.995758832,1215.50402832,0.0,0.0,164.09992981,333.0
Yasuhikotakia_modesta_P_14,5,1,388567,388567.0,99.817610596,3001.656738281,1317.213256836,375.595123291,0.012077276,0.541943073,0.998176098,1215.50402832,0.0,0.0,164.09992981,333.0
Yasuhikotakia_modesta_P_15,1,1,438925,438925.0,98.468430876,3219.840576172,1350.741088867,413.740783691,0.032278389,0.532024264,0.984684289,1263.101318359,0.0,0.0,163.01399231,369.0
Yasuhikotakia_modesta_P_15,2,12,206511,17209.25,46.328676035,770.625459035,184.162007332,38.606647968,115.112799327,0.494148361,0.750582583,221.147578955,526.75,184.833333333,113.573079745,68.053990364
Yasuhikotakia_modesta_P_15,3,1,445497,445497.0,99.942793302,3151.656738281,1363.067260742,416.138244629,0.007634796,0.563607514,0.999427915,1263.101318359,0.0,0.0,163.01399231,369.0
Yasuhikotakia_modesta_P_15,4,4,379166,94791.5,85.06209731,831.077135086,332.326143265,106.695052743,98.07377921,0.805856816,0.901856542,330.879878283,534.0,105.0,135.433679581,104.621320248
Yasuhikotakia_modesta_P_15,5,1,445233,445233.0,99.883567544,3151.656738281,1361.875854492,416.255432129,0.009503474,0.563273549,0.998835683,1263.101318359,0.0,0.0,163.01399231,369.0
Yasuhikotakia_modesta_P_15,6,1,444415,444415.0,99.700057431,3151.656738281,1359.473266602,416.224975586,0.043888338,0.562238693,0.997000575,1263.101318359,0.0,0.0,163.01399231,369.0
Yasuhikotakia_modesta_P_16,1,5,146047,29209.4,26.085783893,1288.0703125,362.17914505,83.999981308,66.008763504,0.324229027,0.615835994,554.446691895,488.6,185.2,76.650224113,143.98225708
Yasuhikotakia_modesta_P_16,2,1,558739,558739.0,99.797632316,3681.656738281,1643.129638672,432.959503174,179.980773926,0.518002927,0.997976303,1507.720092773,0.0,0.0,165.244827271,384.0
Yasuhikotakia_modesta_P_16,3,1,558785,558785.0,99.80584848,3681.656738281,1642.727539062,433.101135254,0.020293456,0.518045604,0.998058498,1507.720092773,0.0,0.0,165.244827271,384.0
Yasuhikotakia_modesta_P_18,1,5,158783,31756.6,29.047937888,1363.119238281,381.090470123,88.825932312,88.941235542,0.207616782,0.606919432,567.943443298,538.2,249.0,108.108572006,162.609217834
Yasuhikotakia_modesta_P_18,2,1,545233,545233.0,99.745528919,3457.656738281,1481.0234375,468.738189697,0.013952927,0.57309711,0.997455299,1378.278686523,0.0,0.0,162.43270874,416.0
Yasuhikotakia_modesta_P_18,3,1,545055,545055.0,99.712965402,3457.656738281,1480.223266602,468.838470459,0.068609655,0.572910011,0.997129679,1378.278686523,0.0,0.0,162.43270874,416.0
Yasuhikotakia_modesta_P_18,4,1,546472,546472.0,99.972192952,3457.656738281,1482.266357422,469.409393311,0.001474466,0.574399412,0.999721944,1378.278686523,0.0,0.0,162.43270874,416.0
Yasuhikotakia_modesta_P_18,5,1,545675,545675.0,99.826388889,3457.656738281,1480.774658203,469.196960449,0.013024665,0.573561668,0.998263896,1378.278686523,0.0,0.0,162.43270874,416.0
Yasuhikotakia_modesta_P_18,6,2,546452,273226.0,99.968534129,1768.334465027,754.177397728,245.936693192,83.909359958,0.769026399,0.984222323,703.254937172,522.0,125.0,159.750305176,219.0
Yasuhikotakia_modesta_P_18,7,1,546145,546145.0,99.912371209,3457.656738281,1481.731201172,469.297943115,0.007381235,0.574055731,0.999123693,1378.278686523,0.0,0.0,162.43270874,416.0
Yasuhikotakia_modesta_P_19,1,13,402776,30982.769230769,82.805863366,839.51222229,149.300922577,57.137592572,129.058154106,0.602475347,0.816784033,186.626782234,747.0,244.0,128.656242224,69.132087744
Yasuhikotakia_modesta_P_19,2,8,223775,27971.875,46.00542752,482.262180567,139.986121714,50.378987402,59.155788787,0.603970125,0.751529858,190.595725536,337.375,219.125,96.667696953,62.76776883
Yasuhikotakia_modesta_P_19,3,1,485371,485371.0,99.786394194,3303.656738281,1430.608886719,431.979400635,0.023822822,0.558848143,0.997863948,1326.494995117,0.0,0.0,163.218017578,383.0
Yasuhikotakia_modesta_P_19,4,1,485477,485477.0,99.808186509,3303.656738281,1430.900268555,431.985748291,0.013276006,0.558970213,0.998081863,1326.494995117,0.0,0.0,163.218017578,383.0
Yasuhikotakia_modesta_P_19,5,1,484858,484858.0,99.680927613,3303.656738281,1429.421386719,431.881317139,0.013584767,0.55825752,0.996809304,1326.494995117,0.0,0.0,163.218017578,383.0
Yasuhikotakia_modesta_P_19,6,1,486117,486117.0,99.939762752,3303.656738281,1432.588623047,432.045440674,0.00281215,0.559707105,0.999397635,1326.494995117,0.0,0.0,163.218017578,383.0
Yasuhikotakia_modesta_P_20,1,29,291541,10053.137931034,61.80068003,420.904332654,56.548769671,22.207672908,76.686616807,0.741084994,0.84896704,67.446158376,586.551724138,180.551724138,88.118032423,24.766823818
Yasuhikotakia_modesta_P_20,2,3,412773,137591.0,87.499364062,1369.792226156,477.496620814,136.089582443,85.309796949,0.614109357,0.884579261,467.007314046,545.666666667,69.666666667,140.594347636,131.604017576
Yasuhikotakia_modesta_P_20,3,8,374959,46869.875,79.483575838,1008.65640974,235.907207251,56.221486628,151.850956917,0.643214688,0.845798716,240.086598516,452.625,235.5,145.720200539,67.42695719
Yasuhikotakia_modesta_P_20,4,1,470287,470287.0,99.691146045,3317.656738281,1459.850219727,410.170837402,179.93371582,0.536920428,0.996911466,1346.147094727,0.0,0.0,164.311843872,364.0
Yasuhikotakia_modesta_P_20,5,1,470335,470335.0,99.701321055,3317.656738281,1459.082519531,410.42855835,0.009864267,0.536975205,0.997013211,1346.147094727,0.0,0.0,164.311843872,364.0
Yasuhikotakia_modesta_P_20,6,1,471004,471004.0,99.84313526,3317.656738281,1460.634277344,410.575683594,0.006137209,0.537738979,0.998431325,1346.147094727,0.0,0.0,164.311843872,364.0
Yasuhikotakia_modesta_P_21,1,8,164538,20567.25,28.841421089,772.848127842,240.107431889,58.222160578,70.924171209,0.46750969,0.740340948,323.669558287,789.875,241.625,92.219638586,102.560572624
Yasuhikotakia_modesta_P_21,2,1,568398,568398.0,99.632948402,3581.656738281,1550.489135742,466.760314941,0.007378076,0.556793869,0.996329486,1438.846801758,0.0,0.0,163.277877808,414.0
Yasuhikotakia_modesta_P_21,3,1,569637,569637.0,99.850129362,3581.656738281,1553.122802734,466.984527588,0.00847837,0.558007598,0.998501301,1438.846801758,0.0,0.0,163.277877808,414.0
