FullClipName,ClipName,mean_direction,mean_magnitude,real_direction
bg_Botia_lohachata_P_12_2_L,Botia_lohachata_P_12_2,264.31933933493724,0.005317522545559307,270
bg_Botia_lohachata_P_12_3_L,Botia_lohachata_P_12_3,72.27432900456374,0.0036255878940454557,90
bg_Botia_lohachata_P_12_4_L,Botia_lohachata_P_12_4,302.40935344540486,0.002029560130596995,270
bg_Botia_lohachata_P_12_5_L,Botia_lohachata_P_12_5,246.61584821831707,0.0025417551425317153,270
bg_Botia_lohachata_P_13_1_L,Botia_lohachata_P_13_1,283.6977364797951,0.0015424763963256907,270
bg_Botia_lohachata_P_13_2_L,Botia_lohachata_P_13_2,261.8536185352956,0.0010033941368950965,270
bg_Botia_lohachata_P_13_3_L,Botia_lohachata_P_13_3,86.74896173945329,0.0016832074144825062,90
bg_Botia_lohachata_P_14_1_L,Botia_lohachata_P_14_1,104.0388822893252,0.0014959484436016465,90
bg_Botia_lohachata_P_14_2_L,Botia_lohachata_P_14_2,273.93214195522154,0.0011413859541358218,270
bg_Botia_lohachata_P_14_3_L,Botia_lohachata_P_14_3,74.29386036319934,9.31617424351865e-4,90
bg_Botia_lohachata_P_15_1_L,Botia_lohachata_P_15_1,344.79821493835783,0.002118397234312468,270
bg_Botia_lohachata_P_1_10_L,Botia_lohachata_P_1_10,328.1625534694557,0.002219877723274658,270
bg_Botia_lohachata_P_1_1_L,Botia_lohachata_P_1_1,279.20108806131805,0.002895432642731444,270
bg_Botia_lohachata_P_1_2_L,Botia_lohachata_P_1_2,75.11710676918146,0.0035195327627989756,90
bg_Botia_lohachata_P_1_3_L,Botia_lohachata_P_1_3,61.85318180783115,0.0016081214266135688,90
bg_Botia_lohachata_P_1_4_L,Botia_lohachata_P_1_4,289.6479744387551,0.001566893918900607,270
bg_Botia_lohachata_P_1_5_L,Botia_lohachata_P_1_5,77.45537951004958,0.004693028174358513,90
bg_Botia_lohachata_P_1_6_L,Botia_lohachata_P_1_6,41.88235608170547,0.001833628164738311,90
bg_Botia_lohachata_P_1_7_L,Botia_lohachata_P_1_7,66.03730752027246,0.0021353272898136603,90
bg_Botia_lohachata_P_1_7a_L,Botia_lohachata_P_1_7a,42.732150345124275,0.0020549046773065587,90
bg_Botia_lohachata_P_1_7b_L,Botia_lohachata_P_1_7b,59.64368430372463,0.0018539111196863344,90
bg_Botia_lohachata_P_1_8_L,Botia_lohachata_P_1_8,308.3254061890829,0.0018773348798761043,270
bg_Botia_lohachata_P_1_9_L,Botia_lohachata_P_1_9,297.1147841554283,0.0011265678475906465,270
bg_Botia_lohachata_P_2_10_L,Botia_lohachata_P_2_10,30.403117132714414,0.0030107496433251597,90
bg_Botia_lohachata_P_2_11_L,Botia_lohachata_P_2_11,303.52491999609583,0.001298494323578614,270
bg_Botia_lohachata_P_2_12_L,Botia_lohachata_P_2_12,75.58950791012157,0.0014086815811881666,90
bg_Botia_lohachata_P_2_13_L,Botia_lohachata_P_2_13,310.92282442986476,0.0012608190520766772,270
bg_Botia_lohachata_P_2_1_L,Botia_lohachata_P_2_1,331.64946777271166,0.0016749435892027076,270
bg_Botia_lohachata_P_2_2_L,Botia_lohachata_P_2_2,57.87126425064809,0.0016274019748574332,90
bg_Botia_lohachata_P_2_3_L,Botia_lohachata_P_2_3,57.50933514388733,0.001633180581366304,90
