"TrialName","Species","Individual","test","expTreatment","CAA:Asp","VCA:CVL","Lum mean","PC1"
"Botia_lohachata_P_10","Botia_lohachata",10,"bg_Merged_clips_sum","predator",0.599017967,0.118941533,0.103605084,0.10246749229849
"Botia_lohachata_P_11","Botia_lohachata",11,"bg_Merged_clips_sum","predator",0.810857294,0.081666312,0.086393393,0.06825934384954
"Botia_lohachata_P_11","Botia_lohachata",11,"bg_Merged_clips_sum","predator",0.841813601,0.142273832,0.170087845,0.09193190768472
"Botia_lohachata_P_11","Botia_lohachata",11,"bg_Merged_clips_sum","predator",0.768550253,0.125309529,0.133945898,0.08463409853229
"Botia_lohachata_P_11","Botia_lohachata",11,"bg_Merged_clips_sum","predator",0.781259164,0.169918804,0.179403672,0.08201806101546
"Botia_lohachata_P_11","Botia_lohachata",11,"bg_Merged_clips_sum","predator",0.852667968,0.170704837,0.199608874,0.07381292401502
"Botia_lohachata_P_12","Botia_lohachata",12,"bg_Merged_clips_sum","predator",0.604512207,0.353774239,0.199039937,0.22739597640619
"Botia_lohachata_P_12","Botia_lohachata",12,"bg_Merged_clips_sum","predator",0.550707266,0.239007272,0.167163063,0.1501512970449
"Botia_lohachata_P_12","Botia_lohachata",12,"bg_Merged_clips_sum","predator",0.696292755,0.345719816,0.256866557,0.23357570064978
"Botia_lohachata_P_12","Botia_lohachata",12,"bg_Merged_clips_sum","predator",0.765921073,0.298304112,0.16116389,0.18681842193156
"Botia_lohachata_P_12","Botia_lohachata",12,"bg_Merged_clips_sum","predator",0.679194501,0.266918845,0.177786146,0.12881479958113
"Botia_lohachata_P_13","Botia_lohachata",13,"bg_Merged_clips_sum","predator",0.770289891,0.27033945,0.1621990675,0.21063696401131
"Botia_lohachata_P_13","Botia_lohachata",13,"bg_Merged_clips_sum","predator",0.789673995,0.371004931,1.375835395,0.16800639618072
"Botia_lohachata_P_13","Botia_lohachata",13,"bg_Merged_clips_sum","predator",0.737133745,0.283105245,0.225374235,0.20493125693514
"Botia_lohachata_P_14","Botia_lohachata",14,"bg_Merged_clips_sum","predator",0.756074222,0.204394013,0.114756295,0.11258892547171
"Botia_lohachata_P_14","Botia_lohachata",14,"bg_Merged_clips_sum","predator",0.6055324405,0.228177185,0.191158372,0.172055980199815
"Botia_lohachata_P_14","Botia_lohachata",14,"bg_Merged_clips_sum","predator",0.708183364,0.248683979,0.18704691,0.14439525642986
"Botia_lohachata_P_15","Botia_lohachata",15,"bg_Merged_clips_sum","predator",0.813708365,0.181649923,0.143467262,0.17590127352121
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.507145092,0.167416637,0.144769177,0.11678006301733
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.781041532,0.278615916,0.16720518,0.18310291405283
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.643982813,0.216478885,0.164500294,0.13216376185664
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.706294978,0.223377065,0.144836548,0.13897480272812
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.697306853,0.246393739,0.175143202,0.15163429324001
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.611123335,0.212717174,0.121043904,0.12231342999927
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.731232385,0.222929641,0.155794969,0.13982178530184
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.558875504,0.242665176,0.220102255,0.14504258908932
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.799290428,0.313848996,0.209211001,0.21605949122968
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.758249322,0.269076152,0.165145383,0.17480432546814
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.750100243,0.269425962,0.208713891,0.14758812068887
"Botia_lohachata_P_1","Botia_lohachata",1,"bg_Merged_clips_sum","predator",0.763306851,0.212178734,0.139563767,0.13370434704038
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.750805011,0.189428121,0.198105704,0.1240294373335
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.794785708,0.314535105,0.20532681,0.18836256936725
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.776716226,0.223893338,0.129274517,0.14321879996529
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.75984153,0.213716003,0.126925269,0.1221596818677
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.760591874,0.233043672,0.154830979,0.1576410256258
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.762479419,0.22696613,0.166037658,0.14143413905247
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.736982969,0.244872346,0.160679102,0.13537178413892
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.756242386,0.261124382,0.175787033,0.13972052351127
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.77187539,0.262645581,0.185553815,0.16013798768989
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.740870759,0.227859386,0.153193712,0.10638538997779
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.714740575,0.210532588,0.156297803,0.12287113619502
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.783760917,0.253641944,0.165330986,0.16191974285626
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.769663958,0.251938751,0.175710365,0.14233587447128
"Botia_lohachata_P_2","Botia_lohachata",2,"bg_Merged_clips_sum","predator",0.779996783,0.210454747,0.130193595,0.11657138957838
"Botia_lohachata_P_3","Botia_lohachata",3,"bg_Merged_clips_sum","predator",0.758002411,0.186943853,0.103898639,0.13274525778054
"Botia_lohachata_P_3","Botia_lohachata",3,"bg_Merged_clips_sum","predator",0.777640607,0.163878665,0.083671064,0.11782551960387
"Botia_lohachata_P_3","Botia_lohachata",3,"bg_Merged_clips_sum","predator",0.77146811,0.1784021,0.097267689,0.11701765884697
"Botia_lohachata_P_3","Botia_lohachata",3,"bg_Merged_clips_sum","predator",0.788472315,0.212862225,0.127839414,0.12602787015283
"Botia_lohachata_P_3","Botia_lohachata",3,"bg_Merged_clips_sum","predator",0.784557875,0.182975253,0.087621745,0.13267474944568
"Botia_lohachata_P_4","Botia_lohachata",4,"bg_Merged_clips_sum","predator",0.806281479,0.239631299,0.162228957,0.16161539068721
"Botia_lohachata_P_5","Botia_lohachata",5,"bg_Merged_clips_sum","predator",0.759725386,0.251102639,0.18744632,0.15574530862902
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.721494597,0.251861717,0.146067658,0.14624157218196
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.77228737,0.296383572,0.212347784,0.18437364504033
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.717737833,0.197792511,0.090820486,0.15357805685845
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.790926514,0.249803698,0.137041356,0.16027978822883
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.779865692,0.215109611,0.107137646,0.16389299061139
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.775279662,0.289516307,0.172828336,0.1881466105741
"Botia_lohachata_P_6","Botia_lohachata",6,"bg_Merged_clips_sum","predator",0.76622584,0.216876789,0.113273461,0.146714550816
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.581312772,0.154709041,0.108389197,0.12846331814341
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.750988536,0.224852749,0.158209439,0.12644693700736
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.614447777,0.165922906,0.187874186,0.11608661611199
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.54893909,0.16819766,0.279077167,0.05174017082381
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.772111374,0.260425625,0.155710357,0.14504791587559
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.784305122,0.27883662,0.182668902,0.1814733822363
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.791461156,0.209579662,0.152487735,0.12639321167615
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.730561249,0.250080705,0.179404387,0.13859481533182
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.784799051,0.232711278,0.123858107,0.16279899517815
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.764695554,0.241197644,0.166576716,0.14963825967027
"Botia_lohachata_P_7","Botia_lohachata",7,"bg_Merged_clips_sum","predator",0.764228973,0.22997126,0.165568802,0.14464687288132
"Botia_lohachata_P_8","Botia_lohachata",8,"bg_Merged_clips_sum","predator",0.801128161,0.240381103,0.152866531,0.15844938238766
"Botia_lohachata_P_8","Botia_lohachata",8,"bg_Merged_clips_sum","predator",0.784149405,0.25328649,0.176608709,0.17961152102578
"Botia_lohachata_P_8","Botia_lohachata",8,"bg_Merged_clips_sum","predator",0.805960674,0.267504941,0.177977587,0.16729243835347
"Botia_lohachata_P_8","Botia_lohachata",8,"bg_Merged_clips_sum","predator",0.791540014,0.27409523,0.162527467,0.17576690025862
"Botia_lohachata_P_8","Botia_lohachata",8,"bg_Merged_clips_sum","predator",0.789238603,0.264028927,0.148129277,0.18687686998488
"Botia_lohachata_P_8","Botia_lohachata",8,"bg_Merged_clips_sum","predator",0.663036663,0.19174297,0.122801351,0.13628324418212
"Botia_lohachata_P_9","Botia_lohachata",9,"bg_Merged_clips_sum","predator",0.805367321,0.230104673,0.155455336,0.13582648466248
"Yasuhikotakia_modesta_C_10","Yasuhikotakia_modesta",10,"bg_Merged_clips_sum","control",0.678921103,0.293972754,0.127609082,0.17057218406596
"Yasuhikotakia_modesta_C_1","Yasuhikotakia_modesta",1,"bg_Merged_clips_sum","control",0.710048914,0.23941639,0.126541984,0.20883506099516
"Yasuhikotakia_modesta_C_1","Yasuhikotakia_modesta",1,"bg_Merged_clips_sum","control",0.731621966,0.242879248,0.113378801,0.17458238754297
"Yasuhikotakia_modesta_C_2","Yasuhikotakia_modesta",2,"bg_Merged_clips_sum","control",0.733824818,0.389812034,0.174913334,0.26152465490873
"Yasuhikotakia_modesta_C_2","Yasuhikotakia_modesta",2,"bg_Merged_clips_sum","control",0.671319303,0.274549759,0.117114372,0.18262263823897
"Yasuhikotakia_modesta_C_2","Yasuhikotakia_modesta",2,"bg_Merged_clips_sum","control",0.692974253,0.330295663,0.165032779,0.14572248509345
"Yasuhikotakia_modesta_C_2","Yasuhikotakia_modesta",2,"bg_Merged_clips_sum","control",0.657584116,0.373903789,0.443395943,0.18694841896693
"Yasuhikotakia_modesta_C_3","Yasuhikotakia_modesta",3,"bg_Merged_clips_sum","control",0.743766743,0.315798955,0.160106224,0.16668904583846
"Yasuhikotakia_modesta_C_3","Yasuhikotakia_modesta",3,"bg_Merged_clips_sum","control",0.753786117,0.401168492,0.231864273,0.25918754780576
"Yasuhikotakia_modesta_C_3","Yasuhikotakia_modesta",3,"bg_Merged_clips_sum","control",0.744070287,0.376380269,0.222213259,0.20609347221843
"Yasuhikotakia_modesta_C_3","Yasuhikotakia_modesta",3,"bg_Merged_clips_sum","control",0.736818574,0.37991376,0.19838446,0.22166476137717
"Yasuhikotakia_modesta_C_4","Yasuhikotakia_modesta",4,"bg_Merged_clips_sum","control",0.708422718,0.354191113,0.177670571,0.18136480626243
"Yasuhikotakia_modesta_C_4","Yasuhikotakia_modesta",4,"bg_Merged_clips_sum","control",0.673086772,0.306176837,0.283037056,0.15220966822878
"Yasuhikotakia_modesta_C_4","Yasuhikotakia_modesta",4,"bg_Merged_clips_sum","control",0.674422224,0.273470159,0.148739471,0.15116111307644
"Yasuhikotakia_modesta_C_4","Yasuhikotakia_modesta",4,"bg_Merged_clips_sum","control",0.719382187,0.323257067,0.143293559,0.2016823514016
"Yasuhikotakia_modesta_C_4","Yasuhikotakia_modesta",4,"bg_Merged_clips_sum","control",0.707137433,0.408323582,0.236821258,0.21998045360872
"Yasuhikotakia_modesta_C_4","Yasuhikotakia_modesta",4,"bg_Merged_clips_sum","control",0.734803821,0.35409702,0.18498449,0.21499089605791
"Yasuhikotakia_modesta_C_5","Yasuhikotakia_modesta",5,"bg_Merged_clips_sum","control",0.661272273,0.335186963,0.138408762,0.1922868522107
"Yasuhikotakia_modesta_C_5","Yasuhikotakia_modesta",5,"bg_Merged_clips_sum","control",0.701028013,0.290042248,0.131547963,0.23092242884593
"Yasuhikotakia_modesta_C_5","Yasuhikotakia_modesta",5,"bg_Merged_clips_sum","control",0.69942159,0.276226619,0.137270711,0.15999248986748
"Yasuhikotakia_modesta_C_5","Yasuhikotakia_modesta",5,"bg_Merged_clips_sum","control",0.72170946,0.318650108,0.16700898,0.22633955436688
"Yasuhikotakia_modesta_C_6","Yasuhikotakia_modesta",6,"bg_Merged_clips_sum","control",0.681807067,0.375195436,1.153870509,0.16843847441466
"Yasuhikotakia_modesta_C_7","Yasuhikotakia_modesta",7,"bg_Merged_clips_sum","control",0.712776539,0.446346292,0.260251587,0.25360934963241
"Yasuhikotakia_modesta_C_7","Yasuhikotakia_modesta",7,"bg_Merged_clips_sum","control",0.692724792,0.301492072,0.214673803,0.17903871175187
"Yasuhikotakia_modesta_C_7","Yasuhikotakia_modesta",7,"bg_Merged_clips_sum","control",0.666265414,0.279543103,0.14129509,0.18420132305891
"Yasuhikotakia_modesta_C_8","Yasuhikotakia_modesta",8,"bg_Merged_clips_sum","control",0.765032697,0.408654513,0.211371513,0.26788830952283
"Yasuhikotakia_modesta_C_8","Yasuhikotakia_modesta",8,"bg_Merged_clips_sum","control",0.711839904,0.32354626,0.181533178,0.1761981972834
"Yasuhikotakia_modesta_C_8","Yasuhikotakia_modesta",8,"bg_Merged_clips_sum","control",0.748498104,0.387298295,0.216442541,0.2151442273528
"Yasuhikotakia_modesta_C_9","Yasuhikotakia_modesta",9,"bg_Merged_clips_sum","control",0.652002303,0.41960484,0.95461184,0.18335202862533
