"filename","ClipName","TrialID","Group","Species","Treatment","x_pred","y_pred","median_speed","cv_speed","max_acc","mean_dist2pred","trans_median_speed","trans_cv_speed","trans_max_acc"
"Botia_lohachata_C_1_1_D_track.csv","Botia_lohachata_C_1_1_D","Botia_lohachata_C_1","Botia_lohachata-C","Botia_lohachata","C",96.7232912423625,-0.174808613279022,44.0905704074209,0.142735379925726,767.352219665977,70.6155876082642,0.796714833773289,-0.388274584050191,0.401218793259332
"Botia_lohachata_C_1_2_D_track.csv","Botia_lohachata_C_1_2_D","Botia_lohachata_C_1","Botia_lohachata-C","Botia_lohachata","C",96.7232912423625,-0.174808613279022,30.5548126301488,0.319390280219797,576.94710844761,52.4130983832474,-0.0510168693176748,0.962319766214702,-0.806142729643788
"Botia_lohachata_C_1_3_D_track.csv","Botia_lohachata_C_1_3_D","Botia_lohachata_C_1","Botia_lohachata-C","Botia_lohachata","C",96.7232912423625,-0.174808613279022,27.8970181871549,0.385593608625614,732.074957224555,42.7606312840875,-0.236395745583115,1.25719396399129,0.224924886820487
"Botia_lohachata_C_10_1_D_track.csv","Botia_lohachata_C_10_1_D","Botia_lohachata_C_10","Botia_lohachata-C","Botia_lohachata","C",98.823516089613,0.968533359674134,33.336333771458,0.116607430088877,597.857049692134,32.3011907689618,0.135301192328298,-0.751445109391322,-0.635963760480524
"Botia_lohachata_C_10_2_D_track.csv","Botia_lohachata_C_10_2_D","Botia_lohachata_C_10","Botia_lohachata-C","Botia_lohachata","C",98.823516089613,0.968533359674134,40.0625981365288,0.169353929694332,733.428633014816,59.7754467138923,0.558635418303795,-0.0888956889431984,0.232002607197872
"Botia_lohachata_C_10_3_D_track.csv","Botia_lohachata_C_10_3_D","Botia_lohachata_C_10","Botia_lohachata-C","Botia_lohachata","C",98.823516089613,0.968533359674134,32.7404077128094,0.228937877389342,667.077324366735,45.9412660905115,0.095996832009221,0.422051104846545,-0.148717999723815
"Botia_lohachata_C_11_1_D_track.csv","Botia_lohachata_C_11_1_D","Botia_lohachata_C_11","Botia_lohachata-C","Botia_lohachata","C",97.834779389002,0.804124589979634,19.3276816377914,0.484254344632958,525.399233882883,44.6418333948749,-0.897194675407058,1.60377869763094,-1.28352916404742
"Botia_lohachata_C_11_2_D_track.csv","Botia_lohachata_C_11_2_D","Botia_lohachata_C_11","Botia_lohachata-C","Botia_lohachata","C",97.834779389002,0.804124589979634,64.1678008743106,0.0501100099558424,620.94967288588,39.2909694474697,1.85887969727946,-2.38261695744773,-0.461338570018903
"Botia_lohachata_C_11_3_D_track.csv","Botia_lohachata_C_11_3_D","Botia_lohachata_C_11","Botia_lohachata-C","Botia_lohachata","C",97.834779389002,0.804124589979634,49.5815541721512,0.0570587305850023,689.467977079822,34.9710163187648,1.10588252244895,-2.11933101967238,-0.0120500671388143
"Botia_lohachata_C_11_4_D_track.csv","Botia_lohachata_C_11_4_D","Botia_lohachata_C_11","Botia_lohachata-C","Botia_lohachata","C",97.834779389002,0.804124589979634,49.9488104686421,0.118230153997549,707.218068695106,50.0027899901909,1.1259909817155,-0.726297500384536,0.0901436169414322
"Botia_lohachata_C_11_5_D_track.csv","Botia_lohachata_C_11_5_D","Botia_lohachata_C_11","Botia_lohachata-C","Botia_lohachata","C",97.834779389002,0.804124589979634,44.250565972326,0.131338337873941,641.761841017593,39.6896645654343,0.805962880141412,-0.536531815086558,-0.314724608153034
"Botia_lohachata_C_12_1_D_track.csv","Botia_lohachata_C_12_1_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,20.6416919379063,0.235542575451024,576.516160457773,51.1402759716499,-0.788278204007008,0.469171795295624,-0.809779897444631
"Botia_lohachata_C_12_10_D_track.csv","Botia_lohachata_C_12_10_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,53.8252082260417,0.0651371573312983,918.199232042244,46.0174154256349,1.33427929187935,-1.85566392406738,1.00225498700474
"Botia_lohachata_C_12_11_D_track.csv","Botia_lohachata_C_12_11_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,49.1655203896382,0.322951630383322,854.121974096663,48.0775840040584,1.08302140548023,0.979890412206166,0.772881016951485
"Botia_lohachata_C_12_12_D_track.csv","Botia_lohachata_C_12_12_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,44.4327750713501,0.113037940783288,591.048238422594,47.235651650708,0.816476426733056,-0.808191346558628,-0.690056348526222
"Botia_lohachata_C_12_13_D_track.csv","Botia_lohachata_C_12_13_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,52.5566952746906,0.0794330207979022,843.120053560184,47.3046518787517,1.26689265444838,-1.46944258586092,0.729991107263867
"Botia_lohachata_C_12_14_D_track.csv","Botia_lohachata_C_12_14_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,57.7823696263982,0.064263522975095,524.103906485129,33.7982962709915,1.53998830858558,-1.88233225321157,-1.29673470646449
"Botia_lohachata_C_12_15_D_track.csv","Botia_lohachata_C_12_15_D","Botia_lohachata_C_12","Botia_lohachata-C","Botia_lohachata","C",96.2845164154786,1.20437712260692,59.2605344324035,0.0906580003409231,480.890926456028,49.8834904455396,1.61517769070474,-1.2179402360512,-1.77805326017826
