Name, ,Image,Pass,ClusterID,lw_mean,lw_sd,mw_mean,mw_sd,sw_mean,sw_sd,lum_mean,lum_sd,Area,Coverage (pc),RNL X,RNL Y,RNL Saturation,Dmax Chromaticity,Dmax channel
Yasuhikotakia_modesta_C_7,1,Yasuhikotakia_modesta_C_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.436047482,0.081111907,0.410690886,0.088504521,0.3693575,0.089040911,0.422685336,0.084281186,13916,100.0,0.691789126,-0.85561941,1.100298491,0.082803042,lw:sw
Yasuhikotakia_modesta_C_8,1,Yasuhikotakia_modesta_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.473690413,0.06500415,0.43919738,0.057780254,0.391784146,0.055190015,0.45551362,0.060552326,4222,29.786933899,0.873017471,-0.964758602,1.30112208,0.094637406,lw:sw
Yasuhikotakia_modesta_C_8,2,Yasuhikotakia_modesta_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.279744695,0.048846466,0.270420286,0.051994901,0.250237315,0.053331383,0.274831006,0.049761535,9952,70.213066101,0.391446195,-0.586958922,0.705514634,0.055676191,lw:sw
Yasuhikotakia_modesta_C_9,1,Yasuhikotakia_modesta_C_9_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.226286623,0.029526726,0.210946845,0.023631316,0.185656714,0.019821671,0.218203028,0.025960626,5634,40.590778351,0.810561719,-1.02255423,1.304847675,0.098629849,lw:sw
Yasuhikotakia_modesta_C_9,2,Yasuhikotakia_modesta_C_9_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.159642207,0.019580419,0.144959946,0.018436023,0.127542349,0.023015779,0.151905103,0.017470554,8246,59.409221649,1.114034951,-1.126992877,1.584672464,0.11177432,lw:sw
Yasuhikotakia_modesta_P_11,1,Yasuhikotakia_modesta_P_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.182269035,0.043252715,0.170220683,0.037755865,0.150427981,0.033309764,0.175919653,0.040043691,11752,95.474853516,0.789682595,-0.99149162,1.267538652,0.095705859,lw:sw
Yasuhikotakia_modesta_P_11,2,Yasuhikotakia_modesta_P_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.345785835,0.033116896,0.298599485,0.025164705,0.258032169,0.027997429,0.320918827,0.027953076,557,4.5251441,1.694146477,-1.428784193,2.216203185,0.145331318,lw:sw
Yasuhikotakia_modesta_P_12,1,Yasuhikotakia_modesta_P_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.328144731,0.049453999,0.301125886,0.058760373,0.275285734,0.067583283,0.313906625,0.053557067,12323,100.0,0.992198509,-0.861402507,1.313952876,0.087597495,lw:sw
Yasuhikotakia_modesta_P_13,1,Yasuhikotakia_modesta_P_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.196865325,0.045040323,0.18699903,0.042304833,0.180855014,0.044443528,0.191665928,0.043261306,14615,100.0,0.593709629,-0.396619689,0.714001611,0.04238668,lw:sw
Yasuhikotakia_modesta_P_14,1,Yasuhikotakia_modesta_P_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.370064427,0.077037926,0.339206968,0.068429098,0.30432583,0.067974803,0.353803435,0.072003973,11256,100.0,1.005365752,-0.975978076,1.401175756,0.097478569,lw:sw
Yasuhikotakia_modesta_P_15,1,Yasuhikotakia_modesta_P_15_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.40285484,0.052526368,0.395605788,0.04193842,0.382902105,0.041852372,0.399034794,0.045306918,4557,37.654933929,0.209672642,-0.26219076,0.335718053,0.025393012,lw:sw
Yasuhikotakia_modesta_P_15,2,Yasuhikotakia_modesta_P_15_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.279801772,0.031454506,0.275947658,0.039091931,0.26856335,0.050632603,0.277770765,0.034095567,7545,62.345066071,0.160160203,-0.213126502,0.266597443,0.020494415,lw:sw
Yasuhikotakia_modesta_P_16,1,Yasuhikotakia_modesta_P_16_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.28481887,0.045178026,0.265836688,0.040248149,0.238284763,0.038568994,0.274815809,0.041459812,10002,61.358200073,0.796416734,-0.910587037,1.2097307,0.088957722,lw:sw
Yasuhikotakia_modesta_P_16,2,Yasuhikotakia_modesta_P_16_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.207095084,0.016657308,0.179989025,0.026532501,0.155115495,0.03640495,0.192811008,0.019503347,6299,38.641799927,1.619849101,-1.419511146,2.153815917,0.143506545,lw:sw
Yasuhikotakia_modesta_P_17,1,Yasuhikotakia_modesta_P_17_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.306401165,0.048701433,0.291848654,0.047904432,0.270117168,0.049104563,0.298732436,0.04738223,13190,100.0,0.56187947,-0.643515981,0.854295825,0.062936414,lw:sw
Yasuhikotakia_modesta_P_18,1,Yasuhikotakia_modesta_P_18_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,8,1,0.33835182,0.052986149,0.310989129,0.047821077,0.2777678,0.051976847,0.323932516,0.048182683,15142,100.0,0.973745395,-0.991420653,1.389638445,0.098331587,lw:sw
Yasuhikotakia_modesta_P_19,1,Yasuhikotakia_modesta_P_19_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.477337101,0.073053347,0.437298071,0.078807655,0.399207029,0.08678949,0.45623773,0.07434289,9515,70.512817383,1.011615396,-0.876269365,1.338362323,0.089134214,lw:sw
Yasuhikotakia_modesta_P_19,2,Yasuhikotakia_modesta_P_19_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.667699159,0.085278594,0.604777902,0.045227424,0.545439569,0.040756447,0.63454145,0.061230794,3979,29.487178802,1.142888627,-0.991785062,1.513219093,0.100779562,lw:sw
Yasuhikotakia_modesta_P_20,1,Yasuhikotakia_modesta_P_20_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.27939014,0.026061775,0.248151924,0.020522096,0.218744203,0.020378811,0.262928546,0.022476245,3157,24.025875092,1.369114095,-1.202325737,1.82210334,0.121746146,lw:sw
Yasuhikotakia_modesta_P_20,2,Yasuhikotakia_modesta_P_20_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.174216313,0.029246662,0.163700909,0.028012258,0.150492259,0.027949766,0.168675017,0.028127275,9983,75.974121094,0.718882623,-0.736184291,1.028960415,0.073062602,lw:sw
Yasuhikotakia_modesta_P_21,1,Yasuhikotakia_modesta_P_21_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.367254976,0.035427238,0.371542761,0.03285008,0.379334307,0.040534252,0.369514501,0.03253608,7012,44.025867462,-0.134033816,0.166958319,0.214103116,0.016179352,lw:sw
Yasuhikotakia_modesta_P_21,2,Yasuhikotakia_modesta_P_21_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.266316215,0.035380152,0.253517977,0.035131147,0.242032757,0.043072334,0.259571927,0.033363124,8915,55.974132538,0.568689546,-0.464062131,0.73400372,0.047769267,lw:sw
