Name, ,Image,Col mean,Col sd,Col CoV,Col skew,Col kurtosis,Lum mean,Lum sd,Lum CoV,Lum skew,Lum kurtosis,Col mean hrz,Col sd hrz,Col CoV hrz,Col skew hrz,Col kurtosis hrz,Col mean vrt,Col sd vrt,Col CoV vrt,Col skew vrt,Col kurtosis vrt,Lum mean hrz,Lum sd hrz,Lum CoV hrz,Lum skew hrz,Lum kurtosis hrz,Lum mean vrt,Lum sd vrt,Lum CoV vrt,Lum skew vrt,Lum kurtosis vrt,Transform,Col thresh,Lum thresh
Yasuhikotakia_modesta_C_8,1,Yasuhikotakia_modesta_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.084795432,0.170108851,2.006108664,6.787315914,87.342861638,0.265118163,0.433762634,1.636110592,5.151296333,57.46553481,0.034725659,0.087742755,2.526741239,9.299165759,147.684107767,0.050752945,0.127815837,2.518392514,10.221609161,187.021153025,0.087884658,0.230412388,2.621758937,12.711373019,266.265917589,0.177396615,0.335531689,1.891421033,6.620413001,91.110345537,none,0,0
Yasuhikotakia_modesta_C_9,1,Yasuhikotakia_modesta_C_9_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.116704375,0.290420977,2.488518347,7.075177833,77.90952138,0.259159556,0.450108349,1.736800124,3.088329236,17.270427328,0.049075374,0.143420683,2.922457229,9.327920466,146.32160417,0.068383476,0.225015081,3.290489057,10.495119562,158.715942219,0.088501246,0.229017654,2.587733659,7.202003253,78.849989109,0.170965899,0.355455173,2.079099838,4.085789972,26.755673996,none,0,0
Yasuhikotakia_modesta_P_11,1,Yasuhikotakia_modesta_P_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.091769165,0.19165953,2.08849596,6.268826385,63.890276142,0.268983504,0.477932436,1.776809468,3.76311708,25.894676932,0.040109491,0.116258426,2.8985266,10.129808396,140.059852987,0.052512988,0.139119826,2.649246063,9.102893115,134.783268036,0.098954401,0.274980248,2.778858182,8.695021878,110.98430221,0.170104794,0.360528047,2.119446718,4.829338065,39.646511803,none,0,0
Yasuhikotakia_modesta_P_12,1,Yasuhikotakia_modesta_P_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.117860806,0.271764544,2.305809319,7.804341646,109.145779155,0.233646725,0.361797375,1.548480407,2.342960952,12.204114537,0.051389606,0.124233337,2.41747984,5.117567391,39.229248439,0.066955086,0.209102958,3.123033243,12.707832334,249.96597819,0.084629084,0.170131864,2.010323817,4.201528429,29.45686898,0.148697465,0.281476103,1.892944861,3.664990649,25.066214845,none,0,0
Yasuhikotakia_modesta_P_13,1,Yasuhikotakia_modesta_P_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.098825414,0.188755678,1.909991281,4.17223832,28.023741577,0.267918722,0.424841022,1.585708603,2.330384699,10.678696297,0.042573403,0.104673395,2.458657006,6.969094943,72.304277522,0.057459727,0.140952299,2.453062454,6.287186949,58.616398702,0.09542458,0.213272751,2.234987575,5.28915507,44.752436152,0.172831061,0.3257062,1.884535093,3.207231176,17.199900118,none,0,0
Yasuhikotakia_modesta_P_14,1,Yasuhikotakia_modesta_P_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.079892954,0.123780498,1.549329348,2.65569788,14.505357712,0.250180501,0.397760693,1.589894864,2.672556172,14.258269793,0.03597501,0.068799716,1.912430762,4.230240995,28.111254216,0.044963937,0.08858693,1.970177344,4.279056485,32.987598651,0.087135248,0.206951184,2.375057043,6.508607704,65.245078231,0.163154903,0.303316187,1.859068781,3.507142839,21.751919291,none,0,0
Yasuhikotakia_modesta_P_15,1,Yasuhikotakia_modesta_P_15_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.108022739,0.21945096,2.031525605,4.659129888,35.13889286,0.280218487,0.467131647,1.667026512,2.619370362,13.66113148,0.04542494,0.128167757,2.821528383,8.678535911,106.309899458,0.063400539,0.158511623,2.500162063,6.556882858,67.824964692,0.097195893,0.227321487,2.338797255,6.234116917,64.106946136,0.183289977,0.355263599,1.938259825,3.442943513,21.593741253,none,0,0
Yasuhikotakia_modesta_P_16,1,Yasuhikotakia_modesta_P_16_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.132913392,0.3711926,2.792740393,7.323555691,72.387113646,0.264808504,0.428179973,1.61694193,3.118923317,20.145139906,0.054347016,0.167901024,3.089424896,10.918011977,187.872170819,0.0795874,0.285792894,3.590931424,9.800593052,122.981022331,0.095137266,0.217352555,2.284620566,6.132745202,61.051517318,0.169855608,0.328389328,1.933344037,4.357310624,36.261290715,none,0,0
Yasuhikotakia_modesta_P_17,1,Yasuhikotakia_modesta_P_17_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.078774927,0.137507221,1.745570913,3.571840061,22.09842383,0.231076907,0.366665813,1.586769608,2.325796285,10.906399025,0.033616983,0.080240323,2.386898396,7.566643906,89.015165117,0.046257475,0.100842562,2.180027375,4.518558537,31.038832009,0.080038851,0.191689709,2.394958296,5.433901137,44.297121313,0.151201471,0.280277897,1.853671761,3.057938421,16.257017699,none,0,0
Yasuhikotakia_modesta_P_18,1,Yasuhikotakia_modesta_P_18_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.111756774,0.226517625,2.026880484,5.876380291,61.066743373,0.218193714,0.40394847,1.85132955,4.433417489,37.912059943,0.047565487,0.124689905,2.621436548,8.61917551,112.799580579,0.064976445,0.16911876,2.602770281,9.13580038,138.821170336,0.083332925,0.223863434,2.686374362,9.532275324,150.600993632,0.13489857,0.297045833,2.201993933,5.960392661,65.666849171,none,0,0
Yasuhikotakia_modesta_P_19,1,Yasuhikotakia_modesta_P_19_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.107938471,0.23778396,2.202958379,6.369263095,63.042725654,0.27404482,0.527617303,1.925295661,5.618899329,54.019129615,0.045428851,0.145828429,3.210039989,11.95206696,198.526787801,0.063597899,0.171016261,2.689023744,8.280389368,103.555634075,0.102476629,0.300492764,2.93230532,11.608577569,193.430052155,0.171766133,0.388938952,2.264351793,7.338519332,89.592777186,none,0,0
Yasuhikotakia_modesta_P_20,1,Yasuhikotakia_modesta_P_20_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.093651992,0.213535931,2.280100251,9.112333223,130.557818444,0.283715662,0.481289405,1.696379399,4.398498655,39.064321991,0.037624855,0.11392746,3.027984038,13.226916805,280.925464269,0.056824599,0.16785822,2.95397105,13.26141029,253.473357431,0.094505278,0.261182486,2.763681477,10.860797917,180.209577927,0.189020735,0.36847927,1.949411902,5.338608348,55.836909206,none,0,0
Yasuhikotakia_modesta_P_21,1,Yasuhikotakia_modesta_P_21_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.08663512,0.178115075,2.055922291,5.418774405,46.316348985,0.246200143,0.391307896,1.589389393,2.622994814,14.020039141,0.035546673,0.109549259,3.081842783,10.43036121,146.056388305,0.052176804,0.126123906,2.417240912,7.233049576,83.603296512,0.089367772,0.21046049,2.354993143,5.93962219,54.564415108,0.156711395,0.290435846,1.853316705,3.560858843,22.554308077,none,0,0
Yasuhikotakia_modesta_P_22,1,Yasuhikotakia_modesta_P_22_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.060449415,0.100889964,1.668998183,3.76503963,27.685508763,0.234803765,0.396310817,1.687838427,3.174998745,19.113868671,0.026082635,0.059528867,2.28231797,8.645290443,115.543511417,0.035346052,0.073562386,2.081205192,5.033382936,46.050888239,0.080552446,0.203753437,2.529450667,6.9180041,73.958276072,0.154470851,0.303459961,1.964512787,4.414540529,33.93010777,none,0,0
Yasuhikotakia_modesta_P_23,1,Yasuhikotakia_modesta_P_23_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.104374247,0.202090335,1.936208786,4.433998224,31.365260372,0.242049039,0.413975033,1.710294057,3.295870984,20.940490255,0.043044847,0.117797439,2.736621195,9.16829088,121.896818747,0.062381281,0.149319183,2.393653665,5.773627152,49.686290378,0.089654636,0.228228781,2.545643948,7.909650967,100.844685307,0.152245684,0.312610252,2.053327517,4.120280905,29.062209914,none,0,0
Yasuhikotakia_modesta_P_24,1,Yasuhikotakia_modesta_P_24_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.063582233,0.123407146,1.940906138,5.686508169,52.283991392,0.22592819,0.39270371,1.738179329,4.57219233,42.34078873,0.027096529,0.076552846,2.825190122,11.313993851,174.928082451,0.03744551,0.08804763,2.351353485,7.31072824,86.715322644,0.076470404,0.211854311,2.770409195,11.175917944,194.048106835,0.149737893,0.298661389,1.994561184,5.606251091,62.681868746,none,0,0
Yasuhikotakia_modesta_P_25,1,Yasuhikotakia_modesta_P_25_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.108170039,0.206745619,1.911302056,5.031366806,43.712203777,0.267782087,0.352599047,1.316738737,1.513794551,6.9420044,0.044035597,0.127336624,2.891674753,9.274439999,122.180650633,0.065025259,0.140226406,2.156491292,6.843038327,86.044960327,0.105966414,0.185224884,1.747958413,4.151618222,32.935156728,0.161560549,0.250381542,1.549769073,2.336597843,12.203896257,none,0,0
Yasuhikotakia_modesta_P_26,1,Yasuhikotakia_modesta_P_26_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.080541949,0.122518874,1.521180904,3.451375533,22.446976393,0.331664975,0.439466969,1.325032792,2.545684561,16.79846988,0.031557054,0.054050962,1.712801273,7.27887154,102.899188472,0.050323354,0.098638806,1.960100006,4.901657909,39.084127266,0.096088311,0.186807738,1.944125513,7.62224627,114.805520807,0.236290782,0.358665257,1.517897795,3.527654606,26.959039661,none,0,0
Yasuhikotakia_modesta_P_27,1,Yasuhikotakia_modesta_P_27_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.083213363,0.131925746,1.585391348,2.984520413,19.498356788,0.25796899,0.371096892,1.438532952,1.920142379,9.655187731,0.035802931,0.077821449,2.173605555,6.772394576,82.685693129,0.048717116,0.09388527,1.927151625,3.943698692,28.461092299,0.101005342,0.209204676,2.071223877,5.24296443,47.508905565,0.15692587,0.260956588,1.662929053,2.459789092,12.720579864,none,0,0
Yasuhikotakia_modesta_P_28,1,Yasuhikotakia_modesta_P_28_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.082599775,0.13494273,1.633693673,3.136387769,17.222577202,0.298301957,0.474036465,1.589116176,2.995168878,17.7053056,0.031755849,0.060947559,1.919254614,5.966036644,58.617846058,0.052222706,0.110155971,2.109350113,4.42012576,29.324562074,0.097627984,0.227654528,2.331857312,7.608746567,93.176927495,0.201096284,0.372776647,1.85372221,3.816897358,24.549345091,none,0,0
