Name, ,Image,ClusterID,Area,Coverage (pc),lw_mean,mw_mean,sw_mean,lum_mean,RNL X,RNL Y,RNL Chromaticity,Dmax Chromaticity,Dmax channel,Adj1,Adj2,Adj3,hAdj1,hAdj2,hAdj3,vAdj1,vAdj2,vAdj3,Adj4,hAdj4,vAdj4
Botia_lohachata_C_5,2,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,3378,34.045555332,0.288793718,0.242354178,0.208254687,0.264321479,2.024346771,-1.573423339,2.563911241,0.162034584,lw:sw,650,6237.0,77.0,278,3198.0,29.0,372,3039.0,48.0,0.0,0.0,0.0
Botia_lohachata_C_5,3,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,248,2.499496069,0.144814747,0.11917498,0.105747237,0.131303218,2.250092621,-1.461712581,2.683192217,0.155919542,lw:sw,0,77.0,420.0,0,29.0,220.0,0,48.0,200.0,33.0,20.0,13.0
Botia_lohachata_C_5,4,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,173,1.743600081,0.087834478,0.073860406,0.069301017,0.08047044,2.000845582,-1.050274936,2.259747881,0.117945731,lw:sw,0,0.0,33.0,0,0.0,20.0,0,0.0,13.0,311.0,152.0,159.0
Botia_lohachata_C_6,1,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,12310,87.540890343,0.362183497,0.299076309,0.251369047,0.328927828,2.210714001,-1.766197905,2.829613301,0.180611182,lw:sw,24039,476.0,50.0,12122,228.0,29.0,11917,248.0,21.0,1.0,1.0,0.0
Botia_lohachata_C_6,2,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,1439,10.233252738,0.635970129,0.519564418,0.433852279,0.574627892,2.33436667,-1.846178581,2.976179279,0.188926544,lw:sw,476,2640.0,0.0,228,1325.0,0.0,248,1315.0,0.0,0.0,0.0,0.0
Botia_lohachata_C_6,3,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,141,1.002702318,0.14386976,0.119831619,0.107989415,0.131202267,2.11104696,-1.323923098,2.491845027,0.142461931,lw:sw,50,0.0,229.0,29,0.0,111.0,21,0.0,118.0,35.0,23.0,12.0
Botia_lohachata_C_6,4,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,172,1.223154601,0.099588209,0.082894562,0.077643317,0.090790767,2.118592368,-1.10022763,2.387244114,0.123820472,lw:sw,1,0.0,35.0,1,0.0,23.0,0,0.0,12.0,306.0,148.0,158.0
Botia_lohachata_C_7,1,Botia_lohachata_C_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,12943,71.386023937,0.139789388,0.115454562,0.102755401,0.126965604,2.208492851,-1.429968785,2.63101718,0.152689269,lw:sw,24951,1259.0,,12590,601.0,,12361,658.0,,,,
Botia_lohachata_C_7,2,Botia_lohachata_C_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,5188,28.613976063,0.228595214,0.18854533,0.161954375,0.207490141,2.224133239,-1.643271305,2.765340711,0.170633488,lw:sw,1259,9661.0,,601,4866.0,,658,4795.0,,,,
Botia_lohachata_C_8,1,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_t1_WeberFiltered_itr5_rad5_fall3_t1,1,10709,69.385771673,0.409773554,0.341957066,0.296770541,0.374036334,2.089091897,-1.537242387,2.593726877,0.159937666,lw:sw,20819,873.0,32.0,10480,386.0,25.0,10339,487.0,7.0,,,
Botia_lohachata_C_8,2,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_t1_WeberFiltered_itr5_rad5_fall3_t1,2,3534,22.897499028,0.262461529,0.222496452,0.20046621,0.241401095,1.907500782,-1.256298329,2.284041314,0.133920078,lw:sw,873,6420.0,253.0,386,3293.0,45.0,487,3127.0,208.0,,,
Botia_lohachata_C_8,3,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_t1_WeberFiltered_itr5_rad5_fall3_t1,3,1191,7.716729299,0.179993855,0.150412954,0.137001548,0.164405577,2.073141493,-1.248622092,2.420118339,0.135624387,lw:sw,32,253.0,2108.0,25,45.0,1132.0,7,208.0,976.0,,,
Botia_lohachata_P_1,1,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,6965,48.801849776,0.367427092,0.317241221,0.278558395,0.34098067,1.695832641,-1.33569098,2.158684493,0.137570733,lw:sw,12990,453.0,1142.0,6532,223.0,605.0,6458,230.0,537.0,,,
Botia_lohachata_P_1,2,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,1546,10.832399103,0.595123981,0.504231587,0.435305466,0.547226487,1.913744704,-1.508753163,2.436956073,0.15509894,lw:sw,453,2840.0,42.0,223,1428.0,12.0,230,1412.0,30.0,,,
Botia_lohachata_P_1,3,Botia_lohachata_P_1_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,5761,40.365751121,0.237212735,0.202056583,0.179204457,0.21868648,1.852262171,-1.329930965,2.280261283,0.139303272,lw:sw,1142,42.0,10733.0,605,12.0,5402.0,537,30.0,5331.0,,,
Botia_lohachata_P_10,1,Botia_lohachata_P_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,6915,32.212232729,0.574395743,0.479924578,0.415768697,0.524612345,2.074890563,-1.542832781,2.585634127,0.16020273,lw:sw,13267,1038.0,,6719,380.0,,6548,658.0,,,,
Botia_lohachata_P_10,2,Botia_lohachata_P_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,14552,67.787767271,0.36566969,0.305250488,0.266412328,0.333830612,2.085376271,-1.502945357,2.570532812,0.15703241,lw:sw,1038,28204.0,,380,14280.0,,658,13924.0,,,,
Botia_lohachata_P_11,1,Botia_lohachata_P_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,17884,100.0,0.529426596,0.434799821,0.364271662,0.479561171,2.273721328,-1.806319315,2.903893618,0.184799436,lw:sw,35371,,,17802,,,17569,,,,,
Botia_lohachata_P_12,1,Botia_lohachata_P_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,15327,61.197843881,0.242239691,0.192145695,0.163335574,0.215841648,2.675155502,-1.856934739,3.256480245,0.194548641,lw:sw,29612,1372.0,,14903,702.0,,14709,670.0,,,,
Botia_lohachata_P_12,2,Botia_lohachata_P_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,9718,38.802156119,0.481695959,0.382074413,0.321007163,0.429198463,2.67543212,-1.925616154,3.296351711,0.200184591,lw:sw,1372,18655.0,,702,9348.0,,670,9307.0,,,,
Botia_lohachata_P_13,1,Botia_lohachata_P_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,10062,86.778783959,0.361927777,0.298737519,0.261601004,0.328628362,2.215646118,-1.52742986,2.691120528,0.16090159,lw:sw,19601,437.0,,9917,171.0,,9684,266.0,,,,
Botia_lohachata_P_13,2,Botia_lohachata_P_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,1533,13.221216041,0.706956733,0.573635743,0.488935851,0.63670066,2.413049329,-1.752535252,2.982312337,0.182308081,lw:sw,437,2838.0,,171,1446.0,,266,1392.0,,,,
Botia_lohachata_P_14,1,Botia_lohachata_P_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,7170,80.084887747,0.348219061,0.28505638,0.24511685,0.314934135,2.311087638,-1.666408074,2.849217777,0.173767017,lw:sw,13852,471.0,,6995,244.0,,6857,227.0,,,,
Botia_lohachata_P_14,2,Botia_lohachata_P_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,1783,19.915112253,0.761126281,0.615489942,0.522074656,0.684380375,2.452376555,-1.794228902,3.038652353,0.186293213,lw:sw,471,3298.0,,244,1655.0,,227,1643.0,,,,
Botia_lohachata_P_15,1,Botia_lohachata_P_15_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,9855,87.561083963,0.439988969,0.368416894,0.325233572,0.402272588,2.050004882,-1.424083998,2.496104014,0.149963429,lw:sw,19184,424.0,25.0,9703,178.0,16.0,9481,246.0,9.0,,,
Botia_lohachata_P_15,2,Botia_lohachata_P_15_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,1315,11.683696135,0.81425179,0.662036816,0.566504054,0.734039162,2.389650417,-1.72161151,2.945229245,0.179429069,lw:sw,424,2418.0,0.0,178,1226.0,0.0,246,1192.0,0.0,,,
Botia_lohachata_P_15,3,Botia_lohachata_P_15_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,85,0.755219902,0.211686388,0.179032823,0.164545804,0.194478944,1.934559781,-1.148929456,2.250013431,0.125296518,lw:sw,25,0.0,147.0,16,0.0,69.0,9,0.0,78.0,,,
Botia_lohachata_P_2,1,Botia_lohachata_P_2_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,5044,51.951797301,0.31678103,0.263611534,0.23108449,0.288762269,2.121593589,-1.489448186,2.592222069,0.156418933,lw:sw,9408,819.0,37.0,4805,351.0,25.0,4603,468.0,12.0,,,
Botia_lohachata_P_2,2,Botia_lohachata_P_2_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,4502,46.369348028,0.439311626,0.365393218,0.317948591,0.400358896,2.127375363,-1.534715084,2.623180574,0.160265959,lw:sw,819,8574.0,0.0,351,4325.0,0.0,468,4249.0,0.0,,,
Botia_lohachata_P_2,3,Botia_lohachata_P_2_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,163,1.678854671,0.11244028,0.09290179,0.087545048,0.102144014,2.204098685,-1.09367692,2.460524379,0.124485294,lw:sw,37,0.0,286.0,25,0.0,138.0,12,0.0,148.0,,,
Botia_lohachata_P_3,1,Botia_lohachata_P_3_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,3849,42.790439133,0.520942412,0.436682122,0.377401366,0.476539821,2.037297142,-1.544156887,2.556364633,0.159784093,lw:sw,7367,506.0,0.0,3737,200.0,0.0,3630,306.0,0.0,,,
Botia_lohachata_P_3,2,Botia_lohachata_P_3_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,5004,55.630906059,0.35004308,0.297247167,0.261108852,0.322221188,1.887857708,-1.398263617,2.349286673,0.145519016,lw:sw,506,9556.0,31.0,200,4861.0,25.0,306,4695.0,6.0,,,
Botia_lohachata_P_3,3,Botia_lohachata_P_3_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,142,1.578654808,0.157421796,0.134148039,0.124371932,0.145157178,1.847357639,-1.06837337,2.1340459,0.117283888,lw:sw,0,31.0,250.0,0,25.0,117.0,0,6.0,133.0,,,
Botia_lohachata_P_4,1,Botia_lohachata_P_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,12404,79.157626037,0.313810509,0.262965658,0.23992534,0.287016763,2.041129671,-1.227850131,2.381979487,0.133430353,lw:sw,24115,668.0,,12211,250.0,,11904,418.0,,,,
Botia_lohachata_P_4,2,Botia_lohachata_P_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,3266,20.842373963,0.582251776,0.486150878,0.436748814,0.531609551,2.082907568,-1.332606212,2.472719809,0.14278987,lw:sw,668,6186.0,,250,3136.0,,418,3050.0,,,,
Botia_lohachata_P_6,1,Botia_lohachata_P_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,9472,52.999104745,0.423537721,0.353903459,0.307172775,0.386842595,2.074068092,-1.531502489,2.578227749,0.159249041,lw:sw,18428,790.0,,9295,314.0,,9133,476.0,,,,
Botia_lohachata_P_6,2,Botia_lohachata_P_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,8400,47.000895255,0.259038279,0.218350787,0.193082146,0.237597203,1.973083598,-1.388190623,2.412494993,0.145881782,lw:sw,790,16142.0,,314,8180.0,,476,7962.0,,,,
Botia_lohachata_P_7,1,Botia_lohachata_P_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,11671,71.295051924,0.220716136,0.185948076,0.162910745,0.202394389,1.979284233,-1.444654392,2.450426981,0.150681283,lw:sw,22480,1017.0,40.0,11379,422.0,28.0,11101,595.0,12.0,,,
Botia_lohachata_P_7,2,Botia_lohachata_P_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,4470,27.306047648,0.32667382,0.279244592,0.244612082,0.30168007,1.811437758,-1.38874605,2.282525431,0.143643906,lw:sw,1017,8420.0,0.0,422,4259.0,0.0,595,4161.0,0.0,,,
Botia_lohachata_P_7,3,Botia_lohachata_P_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,229,1.398900428,0.105079189,0.086420836,0.080207682,0.095246758,2.25728585,-1.20085694,2.556833354,0.134232428,lw:sw,40,0.0,416.0,28,0.0,201.0,12,0.0,215.0,,,
Botia_lohachata_P_8,1,Botia_lohachata_P_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,5144,32.450164017,0.263095763,0.226801538,0.204563631,0.243969658,1.714079956,-1.184596998,2.083588285,0.125159748,lw:sw,9359,1031.0,177.0,4805,448.0,87.0,4554,583.0,90.0,41.0,29.0,12.0
Botia_lohachata_P_8,2,Botia_lohachata_P_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,5249,33.112541004,0.351685755,0.302977544,0.273239305,0.326018018,1.721431015,-1.187754468,2.091431427,0.125529371,lw:sw,1031,9387.0,1118.0,448,4789.0,468.0,583,4598.0,650.0,0.0,0.0,0.0
Botia_lohachata_P_8,3,Botia_lohachata_P_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,5181,32.683573051,0.468563606,0.403022935,0.360049552,0.434025687,1.739895248,-1.249323824,2.141972336,0.130958641,lw:sw,177,1118.0,9708.0,87,468.0,4902.0,90,650.0,4806.0,0.0,0.0,0.0
