frame,x,y
00001,1307,672
00002,1306,674
00003,1305,675
00004,1304,678
00005,1302,681
00006,1301,684
00007,1300,686
00008,1298,689
00009,1298,690
00010,1297,692
00011,1297,693
00012,1295,695
00013,1294,697
00014,1293,699
00015,1292,702
00016,1291,703
00017,1290,705
00018,1290,705
00019,1289,707
00020,1289,708
00021,1288,709
00022,1287,711
00023,1285,714
00024,1284,715
00025,1283,717
00026,1282,719
00027,1281,720
00028,1279,723
00029,1277,725
00030,1276,727
00031,1274,729
00032,1273,730
00033,1272,732
00034,1270,733
00035,1268,735
00036,1266,736
00037,1264,738
00038,1264,738
00039,1262,740
00040,1261,741
00041,1259,742
00042,1257,744
00043,1255,745
00044,1253,747
00045,1250,749
00046,1247,751
00047,1244,752
00048,1243,753
00049,1240,756
00050,1239,756
00051,1238,757
00052,1236,759
00053,1234,760
00054,1231,762
00055,1230,763
00056,1229,764
00057,1228,765
00058,1226,767
00059,1223,769
00060,1221,771
00061,1218,774
00062,1216,776
00063,1215,777
00064,1213,778
00065,1211,780
00066,1209,781
00067,1207,782
00068,1205,783
00069,1204,785
00070,1201,786
00071,1199,787
00072,1198,788
00073,1196,789
00074,1193,791
00075,1191,792
00076,1189,793
00077,1187,795
00078,1185,797
00079,1182,799
00080,1180,800
00081,1178,802
00082,1177,802
00083,1175,804
00084,1172,805
00085,1171,807
00086,1168,809
00087,1166,810
00088,1163,813
00089,1161,814
00090,1158,816
00091,1155,818
00092,1153,820
00093,1151,821
00094,1149,823
00095,1147,824
00096,1146,824
00097,1145,825
00098,1142,827
00099,1140,828
00100,1137,829
00101,1133,831
00102,1131,832
00103,1129,833
00104,1127,835
00105,1125,836
00106,1122,837
00107,1120,838
00108,1118,839
00109,1117,839
00110,1115,840
00111,1113,841
00112,1111,842
00113,1109,843
00114,1106,844
00115,1105,845
00116,1101,847
00117,1098,848
00118,1096,849
00119,1094,850
00120,1092,850
00121,1090,851
