frame,x,y
00001,1179,368
00002,1181,370
00003,1182,371
00004,1183,372
00005,1185,373
00006,1187,375
00007,1187,376
00008,1189,377
00009,1191,379
00010,1193,380
00011,1194,381
00012,1196,382
00013,1198,383
00014,1200,384
00015,1201,385
00016,1204,386
00017,1206,387
00018,1208,388
00019,1210,389
00020,1212,390
00021,1214,390
00022,1216,391
00023,1218,392
00024,1221,393
00025,1222,394
00026,1225,394
00027,1227,395
00028,1229,396
00029,1231,397
00030,1233,397
00031,1235,398
00032,1236,399
00033,1239,400
00034,1241,401
00035,1244,402
00036,1246,403
00037,1247,404
00038,1249,404
00039,1250,405
00040,1253,406
00041,1254,407
00042,1257,408
00043,1259,409
00044,1261,410
00045,1263,411
00046,1266,412
00047,1268,413
00048,1270,413
00049,1272,414
00050,1273,415
00051,1274,415
00052,1275,416
00053,1276,416
00054,1280,417
00055,1281,417
00056,1283,418
00057,1284,418
00058,1287,419
00059,1289,419
00060,1291,420
00061,1294,420
00062,1295,420
00063,1297,420
00064,1299,421
00065,1301,422
00066,1302,422
00067,1305,423
00068,1307,423
00069,1309,424
00070,1310,424
00071,1312,424
00072,1313,424
00073,1314,424
00074,1317,424
00075,1320,424
00076,1323,424
00077,1324,423
00078,1327,423
00079,1330,422
00080,1332,422
00081,1333,421
00082,1336,420
00083,1339,419
00084,1341,418
00085,1343,418
00086,1345,417
00087,1347,417
00088,1351,415
00089,1352,415
00090,1354,414
