frame,x,y
00001,1342,515
00002,1340,516
00003,1339,517
00004,1338,519
00005,1336,521
00006,1335,523
00007,1335,525
00008,1333,529
00009,1332,530
00010,1331,531
00011,1330,532
00012,1330,533
00013,1329,534
00014,1328,536
00015,1327,537
00016,1326,538
00017,1325,539
00018,1325,540
00019,1324,542
00020,1323,543
00021,1322,544
00022,1321,546
00023,1320,547
00024,1319,547
00025,1318,549
00026,1317,550
00027,1316,552
00028,1315,554
00029,1314,555
00030,1313,556
00031,1313,558
00032,1311,560
00033,1310,563
00034,1308,565
00035,1307,566
00036,1306,568
00037,1305,570
00038,1304,571
00039,1303,573
00040,1302,574
00041,1302,575
00042,1301,576
00043,1300,577
00044,1298,579
00045,1297,581
00046,1296,582
00047,1295,584
00048,1293,586
00049,1292,587
00050,1291,590
00051,1289,591
00052,1288,592
00053,1287,594
00054,1286,596
00055,1286,597
00056,1284,600
00057,1282,602
00058,1281,604
00059,1280,606
00060,1279,608
00061,1277,609
00062,1276,610
00063,1275,612
00064,1274,614
00065,1272,615
00066,1271,617
00067,1271,618
00068,1270,619
00069,1269,620
00070,1268,621
00071,1267,622
00072,1265,624
00073,1265,624
00074,1263,626
00075,1262,627
00076,1261,628
00077,1260,629
00078,1259,630
00079,1257,632
00080,1256,633
00081,1254,635
00082,1254,636
00083,1251,639
00084,1249,641
00085,1248,642
00086,1247,643
00087,1246,645
00088,1245,646
00089,1244,647
00090,1243,648
00091,1242,649
00092,1241,649
00093,1240,650
00094,1238,652
00095,1237,653
00096,1235,654
00097,1234,656
00098,1232,657
00099,1231,658
00100,1230,659
00101,1229,660
00102,1228,660
00103,1227,661
00104,1226,662
00105,1225,663
00106,1224,664
00107,1223,665
00108,1222,666
00109,1220,667
00110,1219,668
00111,1218,669
00112,1216,670
00113,1215,672
00114,1213,673
00115,1213,674
00116,1211,675
00117,1210,676
00118,1209,677
00119,1208,679
00120,1206,680
00121,1205,681
00122,1204,682
00123,1203,683
00124,1201,684
00125,1200,685
00126,1199,686
00127,1198,687
00128,1196,688
00129,1195,689
00130,1194,690
00131,1193,691
00132,1192,692
00133,1191,692
00134,1190,694
00135,1188,694
00136,1187,696
00137,1186,697
00138,1184,698
00139,1183,699
00140,1182,700
00141,1181,701
00142,1180,702
00143,1179,703
00144,1178,704
00145,1176,706
00146,1175,707
00147,1173,709
00148,1172,710
00149,1171,711
00150,1171,711
00151,1170,712
00152,1169,713
00153,1168,714
00154,1168,715
00155,1166,716
00156,1166,717
00157,1165,717
00158,1164,718
00159,1162,720
00160,1162,720
00161,1160,722
00162,1159,723
00163,1158,724
00164,1157,725
00165,1155,726
00166,1154,727
00167,1153,728
00168,1152,728
00169,1152,729
00170,1151,729
00171,1150,730
00172,1149,731
00173,1148,732
00174,1147,733
00175,1146,734
00176,1145,735
00177,1144,736
00178,1143,737
00179,1142,738
00180,1141,739
00181,1140,740
00182,1138,741
00183,1137,742
00184,1136,743
00185,1135,743
00186,1135,744
00187,1134,745
00188,1133,746
00189,1132,747
00190,1131,748
00191,1130,748
00192,1129,749
00193,1128,750
00194,1126,751
00195,1125,752
00196,1124,753
00197,1123,754
00198,1122,754
00199,1120,755
00200,1120,756
00201,1118,757
00202,1117,757
00203,1116,758
00204,1115,759
00205,1114,760
00206,1113,760
00207,1111,761
00208,1111,761
00209,1108,763
00210,1108,764
00211,1107,764
00212,1106,764
00213,1105,765
00214,1104,765
00215,1104,766
00216,1102,766
00217,1101,766
00218,1100,767
00219,1099,767
00220,1098,767
00221,1097,768
00222,1096,768
00223,1096,768
00224,1095,769
