frame,x,y
00001,1135,439
00002,1136,440
00003,1137,441
00004,1139,441
00005,1140,442
00006,1141,442
00007,1142,443
00008,1143,443
00009,1144,444
00010,1146,444
00011,1147,445
00012,1149,445
00013,1150,445
00014,1151,446
00015,1152,446
00016,1153,447
00017,1155,447
00018,1156,448
00019,1158,449
00020,1160,450
00021,1161,450
00022,1162,451
00023,1164,452
00024,1166,453
00025,1168,454
00026,1169,455
00027,1171,455
00028,1172,456
00029,1173,456
00030,1175,457
00031,1175,458
00032,1176,458
00033,1177,458
00034,1178,458
00035,1180,459
00036,1181,459
00037,1183,460
00038,1184,460
00039,1185,461
00040,1187,461
00041,1188,461
00042,1190,461
00043,1192,462
00044,1193,463
00045,1195,463
00046,1197,463
00047,1198,464
00048,1200,465
00049,1202,466
00050,1204,466
00051,1206,467
00052,1208,468
00053,1210,468
00054,1212,468
00055,1213,469
00056,1215,469
00057,1217,470
00058,1218,470
00059,1220,470
00060,1221,470
00061,1222,470
00062,1223,470
00063,1224,471
00064,1226,471
00065,1228,471
00066,1229,471
00067,1232,471
00068,1233,471
00069,1235,471
00070,1236,471
00071,1237,471
00072,1239,471
00073,1241,471
00074,1243,471
00075,1245,471
00076,1246,471
00077,1248,472
00078,1251,472
00079,1253,472
00080,1255,472
00081,1257,473
00082,1259,473
00083,1260,473
00084,1262,473
00085,1263,473
00086,1264,473
00087,1266,473
00088,1267,473
00089,1269,473
00090,1270,473
00091,1272,473
00092,1274,473
00093,1276,473
00094,1277,473
00095,1278,472
00096,1280,472
00097,1281,472
00098,1283,472
00099,1285,472
00100,1287,471
00101,1289,472
00102,1290,472
00103,1292,472
00104,1294,472
00105,1296,472
00106,1298,472
00107,1300,472
00108,1301,472
00109,1303,472
00110,1305,472
00111,1307,472
00112,1309,472
00113,1311,472
00114,1313,472
00115,1314,472
00116,1315,472
00117,1317,472
