frame,x,y
00001,1095,988
00002,1097,987
00003,1099,986
00004,1100,986
00005,1103,985
00006,1104,984
00007,1106,983
00008,1107,983
00009,1109,982
00010,1111,981
00011,1112,981
00012,1114,980
00013,1115,980
00014,1117,979
00015,1119,978
00016,1121,977
00017,1123,976
00018,1125,976
00019,1126,975
00020,1129,974
00021,1130,973
00022,1132,973
00023,1134,972
00024,1135,972
00025,1136,971
00026,1138,970
00027,1140,969
00028,1141,969
00029,1143,968
00030,1145,967
00031,1147,967
00032,1149,966
00033,1151,965
00034,1154,965
00035,1157,964
00036,1161,963
00037,1163,963
00038,1165,963
00039,1166,963
00040,1168,962
00041,1170,962
00042,1172,962
00043,1174,961
00044,1175,961
00045,1176,960
00046,1178,960
00047,1180,959
00048,1182,959
00049,1184,958
00050,1187,958
00051,1188,958
00052,1190,957
00053,1193,957
00054,1195,956
00055,1197,956
00056,1199,956
00057,1202,956
00058,1206,956
00059,1210,956
00060,1213,956
00061,1216,956
00062,1219,956
00063,1222,956
00064,1225,956
00065,1227,956
00066,1227,956
00067,1229,956
00068,1232,957
00069,1233,956
00070,1236,956
00071,1238,956
00072,1241,956
00073,1244,956
00074,1246,956
00075,1248,956
00076,1251,956
00077,1254,956
00078,1256,956
00079,1259,956
00080,1261,955
00081,1265,955
00082,1267,955
00083,1269,955
00084,1271,955
00085,1274,955
00086,1277,956
00087,1280,956
00088,1283,956
00089,1285,956
00090,1288,956
00091,1291,956
00092,1294,956
00093,1297,957
00094,1299,957
00095,1301,957
00096,1303,957
00097,1305,957
00098,1308,957
00099,1310,957
00100,1312,957
00101,1313,957
00102,1316,957
00103,1318,957
00104,1320,957
00105,1322,957
00106,1325,957
00107,1327,957
00108,1330,956
00109,1333,956
00110,1336,956
00111,1338,956
00112,1341,956
00113,1343,956
00114,1345,956
00115,1347,955
00116,1349,955
00117,1351,956
00118,1353,955
00119,1355,955
00120,1357,955
00121,1358,954
00122,1360,954
00123,1362,953
00124,1364,953
00125,1365,953
00126,1367,953
00127,1369,953
00128,1371,952
00129,1374,952
00130,1376,952
00131,1378,952
00132,1380,952
00133,1381,951
00134,1383,951
00135,1385,951
00136,1388,950
00137,1389,950
00138,1392,950
00139,1394,950
00140,1396,950
00141,1397,950
00142,1399,949
00143,1401,948
00144,1404,948
00145,1406,948
00146,1409,947
00147,1412,946
00148,1413,946
00149,1415,945
00150,1416,945
00151,1419,945
00152,1420,944
00153,1421,944
00154,1423,943
00155,1425,943
00156,1426,942
00157,1428,942
00158,1429,941
00159,1431,941
00160,1433,941
00161,1434,940
00162,1435,940
00163,1437,939
00164,1438,939
00165,1440,939
00166,1442,938
00167,1443,938
00168,1445,937
00169,1446,937
00170,1447,936
00171,1449,936
00172,1451,935
00173,1452,935
00174,1454,934
00175,1455,933
00176,1457,933
00177,1458,933
00178,1460,932
00179,1462,932
00180,1463,931
00181,1465,931
00182,1466,930
00183,1467,930
00184,1469,930
00185,1470,929
00186,1471,929
00187,1472,929
00188,1474,928
