frame,x,y
00001,1291,464
00002,1290,465
00003,1289,465
00004,1288,466
00005,1288,466
00006,1287,467
00007,1286,467
00008,1285,467
00009,1284,468
00010,1282,469
00011,1281,469
00012,1280,469
00013,1278,470
00014,1276,471
00015,1274,471
00016,1272,473
00017,1270,474
00018,1269,474
00019,1267,475
00020,1265,476
00021,1263,477
00022,1261,478
00023,1260,479
00024,1258,481
00025,1256,482
00026,1255,482
00027,1254,483
00028,1252,484
00029,1251,485
00030,1249,485
00031,1248,486
00032,1247,486
00033,1246,487
00034,1244,488
00035,1243,488
00036,1240,489
00037,1239,490
00038,1237,490
00039,1236,491
00040,1234,492
00041,1233,492
00042,1231,493
00043,1230,493
00044,1228,494
00045,1226,495
00046,1224,496
00047,1223,496
00048,1222,497
00049,1220,497
00050,1218,498
00051,1217,499
00052,1215,499
00053,1214,500
00054,1213,500
00055,1211,501
00056,1209,502
00057,1208,502
00058,1207,503
00059,1205,503
00060,1203,504
00061,1201,504
00062,1199,505
00063,1197,505
00064,1196,505
00065,1194,506
00066,1192,506
00067,1191,506
00068,1189,506
00069,1187,507
00070,1186,507
00071,1185,507
00072,1183,507
00073,1182,507
00074,1181,508
00075,1180,508
00076,1179,508
00077,1177,508
00078,1177,508
00079,1175,508
00080,1174,508
00081,1173,508
00082,1172,508
00083,1170,508
00084,1169,508
00085,1167,508
00086,1166,508
00087,1164,508
00088,1163,507
00089,1162,507
00090,1162,507
00091,1161,507
00092,1159,506
00093,1157,506
00094,1156,506
00095,1155,506
00096,1154,505
00097,1152,505
00098,1150,505
00099,1149,505
00100,1148,505
00101,1147,504
00102,1145,504
00103,1144,504
00104,1142,504
00105,1141,504
00106,1140,503
00107,1139,503
00108,1137,503
00109,1135,503
00110,1133,502
00111,1131,502
