frame,x,y
00001,1189,580
00002,1189,581
00003,1189,581
00004,1189,581
00005,1189,581
00006,1190,581
00007,1191,581
00008,1192,581
00009,1192,581
00010,1193,581
00011,1193,581
00012,1193,581
00013,1194,580
00014,1195,580
00015,1196,580
00016,1197,580
00017,1198,580
00018,1198,580
00019,1199,580
00020,1200,580
00021,1201,580
00022,1202,580
00023,1203,580
00024,1204,580
00025,1204,580
00026,1206,580
00027,1207,580
00028,1208,580
00029,1209,580
00030,1210,580
00031,1211,580
00032,1211,580
00033,1212,580
00034,1212,580
00035,1213,580
00036,1214,580
00037,1215,580
00038,1216,580
00039,1217,580
00040,1218,580
00041,1219,580
00042,1220,580
00043,1220,580
00044,1221,580
00045,1222,580
00046,1223,580
00047,1223,580
00048,1224,580
00049,1224,580
00050,1225,580
00051,1226,580
00052,1227,580
00053,1228,580
00054,1228,580
00055,1229,580
00056,1229,580
00057,1230,580
00058,1231,580
00059,1231,580
00060,1232,580
00061,1232,580
00062,1233,580
00063,1234,580
00064,1235,580
00065,1236,580
00066,1237,580
00067,1238,580
00068,1239,580
00069,1239,580
00070,1240,580
00071,1241,580
00072,1241,580
00073,1242,580
00074,1242,580
00075,1243,580
00076,1244,580
00077,1244,580
00078,1245,580
00079,1246,580
00080,1246,580
00081,1247,580
00082,1247,580
00083,1248,580
00084,1249,580
00085,1250,580
00086,1250,580
00087,1251,580
00088,1252,580
00089,1253,580
00090,1254,580
00091,1255,580
00092,1255,580
00093,1256,580
00094,1256,580
00095,1257,580
00096,1258,580
00097,1258,580
00098,1259,580
00099,1260,580
00100,1260,580
00101,1261,580
00102,1262,580
00103,1262,580
00104,1262,580
00105,1263,580
00106,1263,580
00107,1264,579
00108,1264,579
00109,1265,579
00110,1265,579
00111,1266,579
00112,1266,579
00113,1267,579
00114,1267,579
00115,1268,579
00116,1269,579
00117,1269,579
00118,1269,579
00119,1270,579
00120,1271,579
00121,1271,579
00122,1272,579
00123,1272,578
00124,1273,578
00125,1273,578
00126,1273,578
00127,1274,578
00128,1274,578
00129,1275,578
00130,1275,578
00131,1276,578
00132,1276,578
00133,1277,578
00134,1277,578
00135,1278,578
00136,1278,578
00137,1279,578
00138,1279,577
00139,1280,577
00140,1280,577
00141,1281,577
00142,1282,577
00143,1282,577
00144,1282,577
00145,1283,577
00146,1283,577
00147,1283,577
00148,1284,577
00149,1284,577
00150,1284,577
00151,1284,577
00152,1285,577
00153,1285,577
00154,1285,577
00155,1286,577
00156,1286,577
00157,1286,577
00158,1286,577
00159,1287,577
00160,1287,577
00161,1287,577
00162,1287,577
00163,1288,577
00164,1288,577
00165,1288,577
00166,1289,577
00167,1289,577
00168,1289,577
00169,1289,577
