frame,x,y
00001,1323,630
00002,1322,631
00003,1320,631
00004,1318,631
00005,1314,633
00006,1313,633
00007,1309,633
00008,1308,634
00009,1306,634
00010,1305,634
00011,1304,635
00012,1302,635
00013,1301,635
00014,1298,635
00015,1296,635
00016,1291,636
00017,1289,636
00018,1287,636
00019,1285,637
00020,1282,637
00021,1279,638
00022,1277,638
00023,1276,638
00024,1275,639
00025,1272,639
00026,1269,640
00027,1268,640
00028,1266,641
00029,1264,642
00030,1261,643
00031,1260,643
00032,1257,644
00033,1254,645
00034,1252,646
00035,1249,647
00036,1246,649
00037,1244,649
00038,1241,650
00039,1239,651
00040,1237,651
00041,1236,652
00042,1235,652
00043,1234,652
00044,1232,653
00045,1229,654
00046,1227,654
00047,1225,655
00048,1222,655
00049,1220,656
00050,1218,656
00051,1217,657
00052,1214,657
00053,1213,658
00054,1211,658
00055,1209,659
00056,1207,659
00057,1205,660
00058,1203,661
00059,1201,661
00060,1199,662
00061,1196,663
00062,1194,664
00063,1191,665
00064,1190,665
00065,1188,666
00066,1185,667
00067,1183,668
00068,1181,669
00069,1178,670
00070,1176,671
00071,1174,672
00072,1172,672
00073,1171,673
00074,1168,674
00075,1166,674
00076,1164,675
00077,1163,675
00078,1161,676
00079,1161,677
00080,1158,678
00081,1155,678
00082,1154,679
00083,1152,679
00084,1150,680
00085,1148,680
00086,1146,681
00087,1144,681
00088,1142,682
00089,1140,682
00090,1138,683
00091,1136,683
00092,1133,684
00093,1131,685
00094,1129,685
00095,1127,686
00096,1125,687
00097,1123,687
00098,1120,688
00099,1118,689
00100,1115,690
00101,1113,691
00102,1111,691
00103,1110,692
00104,1108,692
00105,1105,693
00106,1102,695
00107,1100,695
00108,1098,696
00109,1097,696
00110,1095,697
00111,1092,697
00112,1091,697
00113,1089,698
00114,1087,698
00115,1085,698
00116,1084,699
