frame,x,y
00001,1169,712
00002,1173,711
00003,1174,711
00004,1175,710
00005,1177,709
00006,1178,709
00007,1179,708
00008,1181,708
00009,1182,707
00010,1184,706
00011,1185,705
00012,1187,704
00013,1188,703
00014,1189,703
00015,1191,702
00016,1192,701
00017,1194,700
00018,1196,698
00019,1198,697
00020,1199,696
00021,1201,695
00022,1203,693
00023,1205,692
00024,1207,690
00025,1207,689
00026,1208,689
00027,1210,687
00028,1212,686
00029,1213,685
00030,1215,684
00031,1217,683
00032,1218,682
00033,1221,681
00034,1223,680
00035,1225,679
00036,1227,678
00037,1229,677
00038,1231,676
00039,1232,675
00040,1234,674
00041,1236,673
00042,1239,672
00043,1241,671
00044,1244,670
00045,1245,669
00046,1247,669
00047,1249,668
00048,1252,667
00049,1253,666
00050,1255,666
00051,1256,666
00052,1258,665
00053,1260,665
00054,1261,664
00055,1263,664
00056,1264,664
00057,1267,663
00058,1268,663
00059,1270,662
00060,1273,662
00061,1275,661
00062,1276,661
00063,1277,661
00064,1279,661
00065,1281,661
00066,1282,661
00067,1284,661
00068,1287,661
00069,1289,661
00070,1290,661
00071,1292,661
00072,1295,662
00073,1297,662
00074,1299,662
00075,1300,663
00076,1302,663
00077,1304,664
00078,1306,664
00079,1308,665
00080,1310,665
00081,1312,666
00082,1314,667
00083,1316,667
00084,1318,668
00085,1319,668
00086,1321,669
00087,1322,669
00088,1324,670
00089,1326,670
00090,1328,671
00091,1330,671
00092,1331,672
00093,1333,672
00094,1335,673
00095,1337,673
00096,1339,674
00097,1339,674
00098,1341,675
00099,1343,675
00100,1345,676
00101,1346,676
00102,1347,677
00103,1349,677
00104,1350,678
00105,1352,679
00106,1354,680
00107,1355,680
00108,1357,681
00109,1359,681
00110,1361,682
00111,1362,683
00112,1364,683
00113,1365,684
00114,1368,685
00115,1369,686
00116,1371,687
00117,1372,687
00118,1374,688
00119,1375,689
00120,1377,689
00121,1378,690
00122,1380,690
00123,1381,691
00124,1382,691
00125,1384,692
00126,1386,693
00127,1387,693
