frame,x,y
00001,1407,751
00002,1406,751
00003,1405,751
00004,1404,751
00005,1403,751
00006,1402,751
00007,1401,751
00008,1400,751
00009,1400,751
00010,1399,751
00011,1398,750
00012,1397,750
00013,1398,750
00014,1395,750
00015,1395,750
00016,1394,750
00017,1393,750
00018,1392,750
00019,1391,750
00020,1391,749
00021,1390,749
00022,1389,749
00023,1388,749
00024,1388,749
00025,1386,749
00026,1385,749
00027,1384,749
00028,1383,749
00029,1382,748
00030,1381,748
00031,1380,748
00032,1379,748
00033,1378,748
00034,1377,748
00035,1376,748
00036,1375,748
00037,1374,748
00038,1373,748
00039,1372,748
00040,1372,748
00041,1371,748
00042,1370,748
00043,1370,748
00044,1370,748
00045,1369,748
00046,1368,748
00047,1367,748
00048,1367,748
00049,1366,747
00050,1364,747
00051,1363,747
00052,1362,747
00053,1361,747
00054,1360,747
00055,1358,746
00056,1357,746
00057,1356,746
00058,1356,746
00059,1354,746
00060,1354,745
00061,1353,745
00062,1352,745
00063,1352,745
00064,1352,745
00065,1351,745
00066,1350,745
00067,1349,744
00068,1348,744
00069,1348,744
00070,1347,744
00071,1347,743
00072,1345,743
00073,1344,743
00074,1344,743
00075,1344,742
00076,1343,742
00077,1342,742
00078,1341,742
00079,1341,741
00080,1341,741
00081,1339,740
00082,1338,740
00083,1338,740
00084,1337,739
00085,1337,739
00086,1336,739
00087,1335,738
00088,1335,738
00089,1333,738
00090,1332,737
00091,1332,737
00092,1331,737
00093,1329,736
00094,1328,736
00095,1327,735
00096,1327,735
00097,1326,735
00098,1325,734
00099,1323,734
00100,1322,733
00101,1321,733
00102,1320,732
00103,1320,732
00104,1319,732
00105,1318,732
00106,1317,731
00107,1317,731
00108,1316,730
00109,1315,730
00110,1315,730
00111,1314,730
00112,1313,729
00113,1313,729
00114,1312,729
00115,1311,728
00116,1311,728
00117,1309,727
00118,1309,726
00119,1308,726
00120,1307,726
00121,1306,725
00122,1306,725
00123,1305,724
00124,1304,724
00125,1303,724
00126,1303,723
00127,1302,723
00128,1301,722
00129,1300,721
00130,1299,721
00131,1299,720
00132,1299,720
00133,1298,720
00134,1297,719
00135,1297,719
00136,1296,719
00137,1296,718
00138,1296,718
00139,1295,718
00140,1294,717
00141,1293,716
00142,1293,716
00143,1292,716
00144,1291,715
00145,1290,715
00146,1289,714
00147,1289,714
00148,1288,714
00149,1287,713
00150,1287,713
00151,1285,712
00152,1284,712
00153,1283,711
00154,1283,712
00155,1282,711
00156,1281,711
00157,1281,710
00158,1280,710
00159,1279,710
00160,1278,709
00161,1278,709
00162,1277,708
00163,1276,708
00164,1276,708
00165,1275,708
00166,1274,707
00167,1273,707
00168,1273,707
00169,1272,706
00170,1272,706
00171,1271,706
00172,1270,706
00173,1269,705
00174,1268,705
00175,1267,704
00176,1267,704
00177,1266,703
00178,1265,703
00179,1264,702
00180,1263,702
00181,1263,702
00182,1262,701
00183,1262,701
00184,1261,701
00185,1260,701
00186,1260,700
00187,1259,700
00188,1259,700
00189,1258,700
00190,1258,699
00191,1257,699
00192,1257,699
00193,1256,699
00194,1256,698
00195,1255,698
00196,1254,698
00197,1253,697
00198,1252,697
00199,1251,697
00200,1250,697
00201,1249,696
00202,1248,696
00203,1247,695
00204,1246,695
00205,1245,695
00206,1244,694
00207,1244,694
00208,1243,694
00209,1242,693
00210,1240,693
00211,1240,693
00212,1239,693
00213,1238,693
00214,1237,692
00215,1236,692
00216,1236,692
00217,1235,692
00218,1235,692
00219,1234,692
00220,1234,692
00221,1233,692
00222,1232,691
00223,1232,691
00224,1231,691
00225,1230,691
00226,1229,691
00227,1229,691
00228,1228,690
00229,1227,690
00230,1227,690
00231,1226,690
00232,1225,689
00233,1224,689
00234,1223,689
00235,1222,689
00236,1221,689
00237,1221,688
00238,1220,688
00239,1220,688
00240,1219,688
00241,1218,687
00242,1219,688
00243,1218,687
00244,1218,687
00245,1217,687
00246,1217,687
00247,1216,687
00248,1216,687
00249,1214,687
00250,1213,686
00251,1214,686
00252,1213,686
00253,1211,686
00254,1211,686
00255,1212,686
00256,1211,686
00257,1209,686
00258,1208,685
00259,1207,685
00260,1208,685
00261,1206,685
00262,1206,685
00263,1204,685
00264,1203,685
00265,1203,685
00266,1201,685
00267,1200,685
00268,1199,685
00269,1198,685
00270,1198,685
00271,1197,685
00272,1196,685
00273,1195,685
00274,1194,685
00275,1193,685
00276,1192,685
00277,1191,685
00278,1190,685
00279,1190,685
00280,1189,685
00281,1188,685
00282,1188,684
00283,1187,685
00284,1186,684
00285,1185,684
00286,1184,684
00287,1184,684
00288,1183,684
00289,1182,684
00290,1182,684
00291,1181,684
00292,1180,684
00293,1181,684
00294,1179,684
00295,1178,684
00296,1177,684
00297,1177,684
00298,1176,684
00299,1175,684
00300,1175,684
00301,1174,684
00302,1175,684
00303,1173,684
00304,1172,683
00305,1173,684
00306,1171,683
00307,1171,683
00308,1171,683
00309,1171,683
00310,1168,683
00311,1168,683
00312,1167,683
00313,1166,683
00314,1165,683
00315,1164,683
00316,1164,683
00317,1163,683
00318,1162,683
00319,1160,683
00320,1159,683
00321,1158,683
00322,1157,684
00323,1156,684
00324,1155,684
00325,1154,684
00326,1153,684
00327,1152,684
00328,1151,684
00329,1151,684
00330,1149,684
00331,1151,684
