frame,x,y
00001,1116,741
00002,1120,741
00003,1122,741
00004,1125,741
00005,1129,741
00006,1132,741
00007,1136,740
00008,1139,740
00009,1143,739
00010,1145,739
00011,1147,738
00012,1149,738
00013,1151,737
00014,1154,737
00015,1156,736
00016,1160,736
00017,1163,735
00018,1165,735
00019,1166,735
00020,1170,735
00021,1172,735
00022,1174,735
00023,1178,734
00024,1181,734
00025,1185,733
00026,1187,733
00027,1189,733
00028,1192,733
00029,1195,733
00030,1199,733
00031,1202,733
00032,1205,733
00033,1208,733
00034,1210,733
00035,1214,733
00036,1215,733
00037,1215,733
00038,1218,733
00039,1220,733
00040,1224,732
00041,1225,732
00042,1227,733
00043,1230,732
00044,1233,732
00045,1234,732
00046,1237,732
00047,1240,732
00048,1243,732
00049,1245,731
00050,1247,731
00051,1250,731
00052,1252,730
00053,1255,730
00054,1258,730
00055,1260,730
00056,1262,730
00057,1264,730
00058,1266,729
00059,1268,729
00060,1270,729
00061,1273,729
00062,1275,728
00063,1278,728
00064,1279,728
00065,1282,728
00066,1284,728
00067,1286,727
00068,1288,727
00069,1290,727
00070,1292,727
00071,1295,727
00072,1297,727
00073,1299,727
00074,1301,727
00075,1303,727
00076,1306,726
00077,1309,726
00078,1310,726
00079,1312,726
00080,1313,726
00081,1316,725
00082,1317,725
00083,1320,725
00084,1321,725
00085,1323,725
00086,1326,725
00087,1328,724
00088,1330,724
00089,1331,724
00090,1333,724
00091,1335,724
00092,1337,724
00093,1339,724
00094,1342,724
00095,1343,725
00096,1345,724
00097,1347,725
00098,1349,725
00099,1350,725
00100,1352,725
00101,1355,725
00102,1357,725
00103,1359,725
00104,1360,725
00105,1360,725
00106,1363,725
00107,1364,725
00108,1366,725
00109,1368,725
00110,1369,725
00111,1370,725
00112,1372,725
00113,1375,725
00114,1376,725
00115,1378,724
00116,1379,724
00117,1381,724
00118,1382,724
00119,1383,724
00120,1385,723
00121,1386,723
00122,1389,722
00123,1390,722
00124,1393,721
00125,1395,721
00126,1396,721
00127,1398,721
00128,1401,721
00129,1403,721
00130,1405,720
00131,1407,720
00132,1409,720
00133,1412,719
00134,1413,719
00135,1415,718
00136,1417,717
00137,1420,717
00138,1422,716
00139,1424,715
00140,1426,713
00141,1429,712
00142,1432,711
00143,1434,710
00144,1436,709
00145,1437,709
00146,1439,708
