frame,x,y
00001,1351,667
00002,1351,667
00003,1349,668
00004,1347,668
00005,1345,669
00006,1344,669
00007,1342,670
00008,1339,671
00009,1338,671
00010,1336,672
00011,1334,673
00012,1333,673
00013,1331,674
00014,1329,675
00015,1327,675
00016,1326,676
00017,1324,676
00018,1322,677
00019,1320,678
00020,1319,679
00021,1317,679
00022,1316,679
00023,1315,680
00024,1313,681
00025,1311,681
00026,1309,682
00027,1308,682
00028,1305,683
00029,1303,683
00030,1302,684
00031,1300,684
00032,1297,685
00033,1296,685
00034,1295,686
00035,1292,686
00036,1290,687
00037,1290,687
00038,1289,687
00039,1286,688
00040,1283,688
00041,1281,689
00042,1279,689
00043,1277,690
00044,1276,690
00045,1274,691
00046,1273,691
00047,1271,691
00048,1271,692
00049,1270,692
00050,1268,692
00051,1264,694
00052,1262,694
00053,1260,696
00054,1258,696
00055,1256,697
00056,1255,698
00057,1251,699
00058,1250,700
00059,1248,701
00060,1246,701
00061,1244,702
00062,1242,702
00063,1240,703
00064,1239,703
00065,1236,704
00066,1235,704
00067,1233,705
00068,1229,705
00069,1228,706
00070,1226,706
00071,1223,707
00072,1221,708
00073,1219,708
00074,1217,709
00075,1215,709
00076,1213,710
00077,1211,711
00078,1207,712
00079,1206,713
00080,1203,714
00081,1201,715
00082,1198,716
00083,1195,717
00084,1193,718
00085,1188,720
00086,1187,721
00087,1185,721
00088,1183,722
00089,1183,722
00090,1181,722
00091,1177,723
00092,1175,724
00093,1174,724
00094,1172,725
00095,1169,725
00096,1167,726
00097,1164,727
00098,1162,727
00099,1161,727
00100,1159,728
00101,1158,728
00102,1155,728
00103,1153,729
00104,1151,729
00105,1149,730
