frame,x,y
00001,1171,517
00002,1173,518
00003,1175,519
00004,1176,519
00005,1178,520
00006,1181,521
00007,1183,522
00008,1186,523
00009,1188,524
00010,1190,525
00011,1193,527
00012,1196,528
00013,1198,530
00014,1201,531
00015,1203,532
00016,1206,533
00017,1208,534
00018,1211,535
00019,1212,535
00020,1214,536
00021,1216,537
00022,1219,537
00023,1222,539
00024,1225,540
00025,1227,540
00026,1230,542
00027,1233,543
00028,1236,544
00029,1240,546
00030,1242,547
00031,1244,548
00032,1247,550
00033,1250,551
00034,1253,553
00035,1255,554
00036,1258,556
00037,1260,557
00038,1263,558
00039,1266,560
00040,1269,561
00041,1272,562
00042,1274,563
00043,1278,565
00044,1280,566
00045,1282,567
00046,1284,568
00047,1286,569
00048,1290,571
00049,1293,572
00050,1295,574
00051,1297,575
00052,1300,576
00053,1302,578
00054,1304,579
00055,1307,581
00056,1309,582
00057,1311,584
00058,1314,586
00059,1316,587
00060,1319,589
00061,1322,592
00062,1324,593
00063,1326,595
00064,1328,596
00065,1330,598
00066,1331,599
00067,1335,602
00068,1334,602
00069,1337,605
00070,1339,606
00071,1341,608
00072,1341,609
00073,1343,610
00074,1344,611
00075,1345,612
00076,1346,613
00077,1347,615
00078,1348,617
00079,1350,618
00080,1351,620
00081,1352,620
00082,1353,622
00083,1353,622
00084,1355,624
00085,1356,625
00086,1358,627
00087,1358,627
00088,1360,629
00089,1360,630
00090,1361,631
00091,1362,632
00092,1363,633
00093,1364,634
00094,1365,636
00095,1367,637
00096,1367,638
00097,1368,639
00098,1369,640
00099,1371,641
00100,1370,642
00101,1371,643
00102,1372,644
00103,1373,645
00104,1374,645
00105,1375,647
00106,1375,647
00107,1376,648
00108,1376,648
00109,1377,650
00110,1379,652
00111,1381,653
00112,1382,654
00113,1382,655
00114,1383,655
00115,1383,655
00116,1384,656
00117,1384,657
00118,1385,657
00119,1386,658
00120,1386,659
00121,1387,660
00122,1388,661
