frame,x,y
00001,1142,518
00002,1144,518
00003,1146,517
00004,1149,517
00005,1151,517
00006,1154,516
00007,1158,516
00008,1161,516
00009,1164,516
00010,1168,516
00011,1171,516
00012,1174,515
00013,1176,515
00014,1179,515
00015,1181,514
00016,1183,514
00017,1186,513
00018,1188,513
00019,1190,512
00020,1193,512
00021,1195,511
00022,1197,511
00023,1200,510
00024,1202,509
00025,1204,509
00026,1207,508
00027,1209,507
00028,1211,507
00029,1213,506
00030,1215,506
00031,1218,505
00032,1220,505
00033,1223,504
00034,1225,503
00035,1227,503
00036,1230,502
00037,1232,502
00038,1235,502
00039,1237,501
00040,1239,500
00041,1243,500
00042,1245,500
00043,1248,499
00044,1251,499
00045,1252,498
00046,1255,498
00047,1257,497
00048,1260,497
00049,1261,496
00050,1263,496
00051,1265,496
00052,1267,495
00053,1269,495
00054,1271,494
00055,1274,494
00056,1276,493
00057,1278,493
00058,1280,493
00059,1282,492
00060,1284,492
00061,1285,491
00062,1287,491
00063,1289,491
00064,1291,490
00065,1292,490
00066,1295,489
00067,1297,489
00068,1298,489
00069,1300,488
00070,1301,488
00071,1303,488
00072,1305,487
00073,1307,487
00074,1309,487
00075,1311,486
00076,1313,486
00077,1315,486
00078,1317,485
00079,1319,485
00080,1321,485
00081,1322,484
00082,1324,484
00083,1327,484
00084,1329,484
00085,1331,483
