frame,x,y
00001,1378,755
00002,1374,756
00003,1371,757
00004,1368,757
00005,1367,758
00006,1362,759
00007,1360,759
00008,1357,759
00009,1354,760
00010,1351,761
00011,1348,762
00012,1344,763
00013,1342,763
00014,1339,764
00015,1337,764
00016,1334,765
00017,1331,766
00018,1328,767
00019,1325,768
00020,1323,768
00021,1321,769
00022,1318,769
00023,1316,770
00024,1313,771
00025,1310,772
00026,1308,772
00027,1305,773
00028,1302,774
00029,1299,775
00030,1297,775
00031,1296,775
00032,1293,776
00033,1291,777
00034,1290,777
00035,1287,778
00036,1284,779
00037,1280,780
00038,1279,781
00039,1276,781
00040,1275,782
00041,1272,782
00042,1269,784
00043,1267,784
00044,1265,785
00045,1262,786
00046,1261,786
00047,1258,787
00048,1255,788
00049,1254,789
00050,1252,790
00051,1251,790
00052,1248,791
00053,1246,792
00054,1244,792
00055,1242,793
00056,1240,793
00057,1238,794
00058,1236,794
00059,1235,795
00060,1232,795
00061,1230,796
00062,1228,797
00063,1226,797
00064,1222,798
00065,1217,800
00066,1215,801
00067,1212,801
00068,1210,801
00069,1206,802
00070,1204,802
00071,1202,803
00072,1199,803
00073,1197,804
00074,1196,804
00075,1194,804
00076,1192,805
00077,1191,805
00078,1189,805
00079,1188,806
00080,1186,806
00081,1185,807
00082,1183,807
00083,1181,807
00084,1179,808
00085,1175,808
00086,1175,808
00087,1172,809
00088,1171,809
00089,1169,810
00090,1167,810
00091,1166,811
00092,1164,811
00093,1162,811
00094,1161,811
00095,1159,812
00096,1157,812
00097,1155,812
00098,1154,812
00099,1152,813
00100,1150,813
00101,1149,813
00102,1147,814
00103,1146,814
00104,1144,814
00105,1143,815
00106,1141,815
00107,1140,816
00108,1138,816
00109,1136,816
00110,1134,816
00111,1132,817
00112,1130,817
00113,1129,818
00114,1126,818
00115,1124,819
00116,1123,819
00117,1120,819
00118,1117,819
00119,1115,820
00120,1112,820
00121,1111,820
00122,1110,820
00123,1109,820
00124,1106,821
00125,1106,821
00126,1104,821
00127,1102,821
00128,1100,822
00129,1098,822
00130,1096,823
00131,1092,823
00132,1091,824
00133,1090,824
00134,1088,824
00135,1086,824
00136,1084,824
