frame,x,y
00001,1373,534
00002,1372,535
00003,1371,535
00004,1370,535
00005,1370,535
00006,1369,536
00007,1369,536
00008,1368,536
00009,1367,536
00010,1366,537
00011,1366,537
00012,1365,537
00013,1363,538
00014,1362,538
00015,1361,539
00016,1360,539
00017,1358,540
00018,1356,541
00019,1355,541
00020,1354,541
00021,1353,542
00022,1352,543
00023,1349,544
00024,1347,545
00025,1344,547
00026,1344,548
00027,1341,549
00028,1339,550
00029,1337,551
00030,1336,552
00031,1334,553
00032,1332,554
00033,1330,555
00034,1329,556
00035,1328,556
00036,1327,557
00037,1326,557
00038,1324,558
00039,1323,559
00040,1322,559
00041,1321,559
00042,1319,560
00043,1317,560
00044,1316,561
00045,1314,561
00046,1312,562
00047,1311,563
00048,1310,563
00049,1309,563
00050,1308,564
00051,1306,565
00052,1302,566
00053,1299,567
00054,1298,567
00055,1297,568
00056,1295,569
00057,1295,568
00058,1294,569
00059,1293,569
00060,1290,570
00061,1292,569
00062,1290,570
00063,1289,571
00064,1287,571
00065,1285,572
00066,1283,573
00067,1282,573
00068,1280,574
00069,1278,575
00070,1277,576
00071,1276,576
00072,1275,577
00073,1273,578
00074,1272,579
00075,1271,579
00076,1268,580
00077,1267,581
00078,1265,582
00079,1262,583
00080,1261,583
00081,1260,584
00082,1259,584
00083,1257,585
00084,1256,585
00085,1253,585
00086,1251,586
00087,1249,587
00088,1247,587
00089,1246,587
00090,1244,588
00091,1243,588
00092,1243,588
00093,1241,589
00094,1240,589
00095,1237,590
00096,1235,590
00097,1235,590
00098,1233,591
00099,1231,591
00100,1230,592
00101,1228,592
00102,1226,592
00103,1224,593
00104,1222,593
00105,1220,593
00106,1219,593
00107,1218,593
00108,1217,593
00109,1215,593
00110,1214,593
00111,1213,593
00112,1210,593
00113,1208,593
00114,1206,593
00115,1205,593
00116,1204,592
00117,1203,592
00118,1202,592
00119,1201,592
00120,1199,592
00121,1198,591
00122,1196,591
00123,1195,590
00124,1193,590
00125,1191,589
00126,1190,589
00127,1187,588
00128,1186,587
00129,1185,586
00130,1184,586
00131,1183,585
00132,1181,584
00133,1180,584
00134,1177,583
00135,1177,582
00136,1176,582
00137,1175,581
00138,1173,580
00139,1172,580
00140,1170,579
00141,1169,578
00142,1167,577
00143,1166,576
00144,1165,575
00145,1164,574
00146,1163,574
00147,1162,573
00148,1161,573
00149,1160,572
00150,1159,572
00151,1157,571
00152,1157,570
00153,1155,569
00154,1154,568
00155,1153,568
00156,1153,567
00157,1152,567
00158,1152,566
00159,1151,566
00160,1151,565
00161,1150,565
00162,1149,564
00163,1148,563
00164,1147,563
00165,1147,562
00166,1145,561
00167,1145,560
00168,1144,560
