frame,x,y
00001,1380,641
00002,1377,641
00003,1375,641
00004,1374,641
00005,1372,641
00006,1369,641
00007,1367,640
00008,1366,639
00009,1364,639
00010,1362,638
00011,1360,638
00012,1359,638
00013,1357,638
00014,1354,638
00015,1351,637
00016,1349,637
00017,1347,637
00018,1344,637
00019,1343,637
00020,1340,637
00021,1338,638
00022,1335,638
00023,1332,638
00024,1329,639
00025,1326,639
00026,1322,640
00027,1319,641
00028,1316,642
00029,1313,642
00030,1310,643
00031,1308,643
00032,1305,644
00033,1303,644
00034,1299,644
00035,1297,645
00036,1293,645
00037,1289,645
00038,1287,646
00039,1284,646
00040,1282,646
00041,1279,646
00042,1275,647
00043,1272,647
00044,1269,648
00045,1267,648
00046,1265,649
00047,1261,649
00048,1260,649
00049,1258,649
00050,1256,650
00051,1253,650
00052,1252,651
00053,1250,651
00054,1247,652
00055,1244,652
00056,1241,653
00057,1239,653
00058,1235,655
00059,1232,655
00060,1230,656
00061,1227,656
00062,1224,657
00063,1222,657
00064,1219,658
00065,1216,658
00066,1214,658
00067,1211,659
00068,1210,660
00069,1207,660
00070,1204,661
00071,1202,661
00072,1200,661
00073,1197,662
00074,1195,662
00075,1193,662
00076,1190,663
00077,1188,663
00078,1186,663
00079,1184,664
00080,1182,664
00081,1180,664
00082,1178,665
00083,1176,665
00084,1174,665
00085,1171,666
00086,1169,666
00087,1166,667
00088,1164,667
00089,1162,667
00090,1159,668
00091,1157,668
00092,1155,669
00093,1152,670
00094,1150,670
00095,1148,671
00096,1145,672
00097,1142,673
00098,1140,673
00099,1138,674
00100,1136,674
00101,1134,675
00102,1132,675
00103,1130,676
00104,1127,676
00105,1126,677
00106,1124,677
00107,1122,678
00108,1120,678
00109,1118,679
