frame,x,y
00001,1407,607
00002,1408,608
00003,1406,607
00004,1405,607
00005,1402,607
00006,1401,607
00007,1400,606
00008,1398,606
00009,1396,606
00010,1394,606
00011,1392,606
00012,1390,606
00013,1389,606
00014,1386,606
00015,1384,606
00016,1382,606
00017,1380,606
00018,1378,606
00019,1376,606
00020,1373,606
00021,1373,606
00022,1371,606
00023,1371,606
00024,1369,606
00025,1366,606
00026,1363,605
00027,1361,605
00028,1359,605
00029,1358,606
00030,1356,606
00031,1354,606
00032,1352,606
00033,1350,607
00034,1346,607
00035,1345,608
00036,1343,608
00037,1341,609
00038,1339,609
00039,1335,610
00040,1333,611
00041,1331,612
00042,1329,612
00043,1327,612
00044,1324,613
00045,1322,613
00046,1321,613
00047,1319,614
00048,1318,614
00049,1317,614
00050,1314,614
00051,1313,615
00052,1310,615
00053,1308,616
00054,1305,616
00055,1304,617
00056,1301,617
00057,1299,618
00058,1297,618
00059,1296,618
00060,1294,619
00061,1292,619
00062,1291,620
00063,1288,621
00064,1286,621
00065,1284,622
00066,1282,622
00067,1280,623
00068,1278,624
00069,1276,624
00070,1275,625
00071,1273,625
00072,1271,626
00073,1268,627
00074,1266,628
00075,1264,629
00076,1262,630
00077,1260,630
00078,1258,631
00079,1256,632
00080,1255,632
00081,1253,633
00082,1252,633
00083,1250,633
00084,1248,634
00085,1247,634
00086,1245,635
00087,1243,636
00088,1241,636
00089,1240,637
00090,1238,637
00091,1237,638
00092,1234,639
00093,1233,639
00094,1231,639
00095,1229,640
00096,1226,641
00097,1226,641
00098,1225,642
00099,1223,643
00100,1221,644
00101,1219,644
00102,1218,645
00103,1216,646
00104,1214,646
00105,1213,647
00106,1211,647
00107,1209,647
00108,1207,648
00109,1204,648
00110,1204,648
00111,1203,649
00112,1201,649
00113,1199,649
00114,1197,649
00115,1194,650
00116,1192,650
00117,1190,650
00118,1189,651
00119,1188,651
00120,1186,651
00121,1185,651
00122,1184,651
00123,1182,652
00124,1179,652
00125,1178,652
00126,1177,652
00127,1175,653
00128,1173,653
00129,1171,654
00130,1169,655
00131,1167,655
00132,1165,656
00133,1163,657
00134,1161,657
00135,1159,658
00136,1157,658
00137,1156,658
00138,1154,659
00139,1153,659
00140,1151,660
00141,1149,660
00142,1147,660
00143,1146,660
00144,1145,660
00145,1143,660
00146,1141,661
00147,1140,661
00148,1138,661
00149,1137,661
00150,1136,661
00151,1135,661
00152,1133,661
00153,1131,662
00154,1131,662
00155,1129,662
00156,1128,662
00157,1126,662
