frame,x,y
00001,1337,513
00002,1336,514
00003,1335,514
00004,1334,515
00005,1333,516
00006,1333,516
00007,1332,517
00008,1331,517
00009,1330,518
00010,1330,518
00011,1329,518
00012,1328,518
00013,1328,518
00014,1327,518
00015,1326,519
00016,1325,519
00017,1324,519
00018,1324,519
00019,1324,519
00020,1323,519
00021,1322,520
00022,1322,519
00023,1321,520
00024,1320,520
00025,1319,520
00026,1319,520
00027,1318,520
00028,1318,520
00029,1317,520
00030,1316,520
00031,1315,520
00032,1314,520
00033,1314,520
00034,1313,520
00035,1312,520
00036,1311,520
00037,1310,520
00038,1309,520
00039,1308,521
00040,1307,521
00041,1306,521
00042,1305,522
00043,1304,522
00044,1303,522
00045,1301,523
00046,1301,523
00047,1299,523
00048,1298,524
00049,1298,524
00050,1297,524
00051,1296,524
00052,1295,524
00053,1294,525
00054,1294,525
00055,1293,525
00056,1292,525
00057,1291,525
00058,1290,525
00059,1289,525
00060,1289,525
00061,1288,525
00062,1287,526
00063,1287,526
00064,1285,526
00065,1284,526
00066,1283,526
00067,1282,526
00068,1281,526
00069,1280,527
00070,1279,527
00071,1278,527
00072,1278,527
00073,1277,527
00074,1276,527
00075,1277,527
00076,1274,526
00077,1274,526
00078,1273,526
00079,1272,527
00080,1270,527
00081,1269,527
00082,1268,527
00083,1267,528
00084,1266,528
00085,1265,528
00086,1263,528
00087,1262,529
00088,1261,529
00089,1260,530
00090,1259,530
00091,1259,530
00092,1258,530
00093,1257,530
00094,1256,530
00095,1255,530
00096,1254,531
00097,1253,531
00098,1251,531
00099,1250,531
00100,1249,531
00101,1248,532
00102,1247,532
00103,1246,532
00104,1245,532
00105,1244,532
00106,1244,532
00107,1242,532
00108,1241,533
00109,1241,532
00110,1239,533
00111,1238,533
00112,1237,533
00113,1236,534
00114,1235,534
00115,1234,534
00116,1231,535
00117,1229,536
00118,1228,536
00119,1226,537
00120,1225,537
00121,1224,538
00122,1224,538
00123,1223,538
00124,1222,538
00125,1221,539
00126,1220,539
00127,1219,539
00128,1217,540
00129,1216,540
00130,1215,540
00131,1214,541
00132,1212,541
00133,1211,541
00134,1210,542
00135,1209,542
00136,1208,542
00137,1206,543
00138,1206,543
00139,1204,543
00140,1204,544
00141,1203,544
00142,1201,544
00143,1200,545
00144,1199,545
00145,1198,545
00146,1198,546
00147,1197,546
00148,1195,547
00149,1193,547
00150,1191,548
00151,1190,548
00152,1189,549
00153,1188,549
00154,1186,550
00155,1187,550
00156,1184,551
00157,1182,552
00158,1181,552
00159,1181,553
00160,1180,553
00161,1179,553
00162,1179,554
00163,1178,554
00164,1176,554
00165,1175,555
00166,1174,555
00167,1173,556
00168,1172,556
00169,1171,557
