frame,x,y
00001,1114,601
00002,1112,601
00003,1114,601
00004,1117,600
00005,1118,599
00006,1119,598
00007,1122,597
00008,1122,597
00009,1124,596
00010,1124,596
00011,1126,595
00012,1127,595
00013,1128,594
00014,1129,594
00015,1130,593
00016,1131,592
00017,1132,592
00018,1133,592
00019,1133,591
00020,1134,591
00021,1136,590
00022,1136,589
00023,1137,589
00024,1138,588
00025,1139,588
00026,1140,587
00027,1141,587
00028,1142,587
00029,1143,586
00030,1145,585
00031,1146,585
00032,1148,584
00033,1149,584
00034,1150,583
00035,1150,583
00036,1152,582
00037,1153,582
00038,1155,581
00039,1156,581
00040,1157,581
00041,1159,580
00042,1159,580
00043,1160,579
00044,1161,579
00045,1162,579
00046,1163,578
00047,1165,578
00048,1166,577
00049,1167,577
00050,1167,577
00051,1169,576
00052,1170,576
00053,1171,575
00054,1172,574
00055,1174,574
00056,1174,574
00057,1175,573
00058,1176,573
00059,1177,573
00060,1178,572
00061,1179,571
00062,1180,571
00063,1181,570
00064,1182,570
00065,1183,569
00066,1184,569
00067,1185,569
00068,1186,568
00069,1188,568
00070,1189,567
00071,1190,567
00072,1192,567
00073,1193,566
00074,1194,566
00075,1195,566
00076,1197,565
00077,1198,565
00078,1199,565
00079,1200,564
00080,1201,564
00081,1202,564
00082,1202,564
00083,1204,563
00084,1204,563
00085,1205,563
00086,1206,562
00087,1207,562
00088,1209,561
00089,1210,561
00090,1211,560
00091,1212,560
00092,1214,559
00093,1215,558
00094,1215,558
00095,1217,558
00096,1218,557
00097,1219,557
00098,1220,557
00099,1222,556
00100,1223,556
00101,1224,555
00102,1225,555
00103,1227,555
00104,1228,555
00105,1230,554
00106,1232,554
00107,1233,553
00108,1234,553
00109,1235,553
00110,1236,552
00111,1237,552
00112,1238,552
00113,1239,552
00114,1241,551
00115,1242,551
00116,1243,551
00117,1244,550
00118,1245,550
00119,1246,550
00120,1247,549
00121,1248,549
00122,1249,548
00123,1250,548
00124,1251,548
00125,1252,547
00126,1254,547
00127,1254,546
00128,1255,546
00129,1256,546
00130,1257,545
00131,1258,545
00132,1261,545
00133,1261,544
00134,1262,544
00135,1264,544
00136,1265,543
00137,1266,543
00138,1268,543
00139,1269,542
00140,1271,542
00141,1272,542
00142,1273,541
00143,1274,541
00144,1275,541
00145,1276,541
00146,1277,540
00147,1279,540
00148,1279,540
00149,1280,539
00150,1282,539
00151,1283,539
00152,1285,539
00153,1286,538
00154,1287,538
00155,1287,537
00156,1289,537
00157,1289,537
00158,1291,536
00159,1291,536
00160,1292,535
00161,1292,535
00162,1293,535
00163,1294,534
00164,1295,534
00165,1297,534
00166,1298,533
00167,1298,533
00168,1299,532
00169,1300,532
00170,1302,531
00171,1302,531
00172,1303,531
00173,1304,530
00174,1305,530
00175,1307,529
00176,1308,529
00177,1309,529
00178,1310,528
00179,1311,528
00180,1312,528
00181,1313,527
00182,1314,527
00183,1314,526
00184,1316,526
00185,1317,525
00186,1318,525
00187,1319,524
00188,1319,524
00189,1320,524
00190,1321,523
00191,1322,523
00192,1323,522
00193,1324,522
00194,1324,522
00195,1325,521
00196,1327,520
00197,1327,520
00198,1328,519
00199,1329,519
00200,1329,518
00201,1330,517
00202,1330,517
00203,1331,516
00204,1332,516
00205,1333,515
00206,1334,515
00207,1335,514
00208,1336,514
00209,1337,513
00210,1338,513
00211,1339,512
00212,1340,512
00213,1340,512
00214,1341,511
00215,1342,510
00216,1343,510
00217,1344,510
00218,1344,509
00219,1345,509
00220,1346,509
00221,1346,509
00222,1347,508
00223,1348,508
00224,1349,507
00225,1350,507
00226,1350,506
