frame,x,y
00001,1160,581
00002,1162,582
00003,1163,582
00004,1165,582
00005,1167,582
00006,1169,583
00007,1171,583
00008,1172,583
00009,1175,584
00010,1177,584
00011,1179,584
00012,1181,585
00013,1184,585
00014,1185,585
00015,1188,585
00016,1191,585
00017,1194,585
00018,1195,585
00019,1197,585
00020,1199,585
00021,1202,585
00022,1203,585
00023,1205,585
00024,1207,585
00025,1208,585
00026,1208,585
00027,1211,585
00028,1212,584
00029,1215,584
00030,1216,584
00031,1218,584
00032,1220,583
00033,1222,583
00034,1224,583
00035,1225,582
00036,1227,582
00037,1228,582
00038,1231,581
00039,1232,581
00040,1234,581
00041,1235,580
00042,1237,580
00043,1239,580
00044,1241,579
00045,1242,579
00046,1244,578
00047,1246,578
00048,1247,578
00049,1249,577
00050,1251,577
00051,1253,577
00052,1255,576
00053,1256,576
00054,1257,576
00055,1259,575
00056,1261,575
00057,1263,575
00058,1265,574
00059,1266,574
00060,1268,573
00061,1270,573
00062,1272,573
00063,1274,572
00064,1275,572
00065,1276,572
00066,1278,572
00067,1280,571
00068,1282,570
00069,1284,570
00070,1285,570
00071,1287,570
00072,1289,569
00073,1290,569
00074,1292,568
00075,1293,568
00076,1294,568
00077,1296,567
00078,1297,567
00079,1299,567
00080,1300,566
00081,1301,566
00082,1303,565
00083,1304,565
00084,1306,564
00085,1307,564
00086,1308,563
00087,1310,563
00088,1312,562
00089,1314,562
00090,1315,561
00091,1316,561
00092,1317,561
00093,1318,560
00094,1319,560
00095,1320,559
00096,1322,559
00097,1323,559
00098,1324,558
00099,1326,558
00100,1327,557
00101,1328,557
00102,1329,557
00103,1330,556
00104,1331,556
00105,1333,555
00106,1334,555
00107,1336,555
00108,1337,554
00109,1338,554
00110,1339,554
00111,1340,554
00112,1342,553
00113,1345,553
00114,1346,553
00115,1346,552
00116,1348,552
00117,1349,552
00118,1350,551
00119,1352,551
00120,1352,551
00121,1354,551
00122,1354,550
00123,1356,550
00124,1357,550
00125,1359,550
00126,1360,549
00127,1361,549
00128,1361,549
00129,1364,549
00130,1365,548
00131,1365,548
00132,1367,548
00133,1368,547
00134,1369,547
00135,1369,547
00136,1371,547
00137,1372,546
00138,1372,546
00139,1373,546
00140,1373,546
00141,1375,546
00142,1376,545
00143,1377,545
00144,1379,545
00145,1378,545
00146,1379,545
